family	building	place	element	value_original	unit_original	value_m	parse	source	confidence	quote
hall_manor	Ford's Hospital	Coventry	open central court	39 ft 2 in by 11 ft 11 in	ft in	11.938	first measure in prose (ft in)	dollman_v1 leaf 283 text	text	
hall_manor	Chapel in the Episcopal Palace	Wells, Somerset	length by width by height, in three bays	52 ft 5 in by 21 ft 3 in by 37 ft high	ft in	15.977	first measure in prose (ft in)	dollman_v2 leaf 331 text	text	
hall_manor	Refectory (vanished 1842)	Ely, Cambridgeshire	length	230 ft	ft	70.104	ft	dollman_v2 leaf 17 text	text	
hall_manor	Borthwick Castle	Borthwick, Midlothian	plan, and height	about 74 ft by 68 ft, nearly 100 ft high	ft	22.555	first measure in prose (ft)	dollman_v1 leaf 322 text	text	
hall_manor	Borthwick Castle great hall	Borthwick, Midlothian	length	about 40 ft	ft	12.192	ft	dollman_v1 leaf 322 text	text	
hall_manor	Roslin / Castle Campbell	Scotland	east-west by broad, walls 9 ft thick in parts	200 ft by 90 ft, walls 9 ft	ft	60.960	first measure in prose (ft)	dollman_v2 leaf 229 text	text	
hall_manor	The Commandery hall	Worcester	plan, length by width	47 ft 10 in by 25 ft 9 in	ft in	14.580	first measure in prose (ft in)	dollman_v1 leaf 172 plate	printed	
hall_manor	The Commandery	Worcester	carved seat ends in hall, plan dimension each	1 ft 6 in	ft in	0.457	ft-in	dollman_v1 leaf 172 plate	printed	
hall_manor	Town house, Assize of London, 1 Richard I (1189)	London	party wall thickness	3 ft	ft	0.914	ft	dollman_v2 leaf 13 text	text	
hall_manor	Town house, Assize of London, 1 Richard I (1189)	London	masonry wall height before the timber gable	16 ft	ft	4.877	ft	dollman_v2 leaf 13 text	text	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	scutcheon diameter	5 in	in	0.127	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	hinge, across the two leaves	3 1/2 in	in	0.089	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	bolt plate, overall length	3 3/4 in	in	0.095	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	latch, overall length	8 3/4 in	in	0.222	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	latch, overall height of the vertical back plate	7 in	in	0.178	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	sliding sconce, overall height	1 ft 7 in	ft in	0.483	ft-in	dollman_v1 leaf 164 plate	printed	
hall_manor	Ancient iron work, Shoppee collection	various parts of the kingdom	sliding sconce, width of the back-plate channel	1 3/8 in	in	0.035	in	dollman_v1 leaf 164 plate	printed	
hall_manor	Closing ring, Chant Marle Farm	near Cattistock, Dorset	height by width	6 7/8 in by 4 5/8 in	in	0.203	first measure in prose (in)	dollman_v2 leaf 370 plate	printed	
hall_manor	Closing ring, The Commandery	Worcester	across the ring	4 in	in	0.102	in	dollman_v2 leaf 370 plate	printed	
hall_manor	Escutcheon on the gateway of the Bishop's Palace	Wells, Somerset	height	5 3/4 in	in	0.146	in	dollman_v2 leaf 370 plate	printed	
hall_manor	Knocker (original in E. Browning's collection)	Stamford, Lincolnshire	length	7 3/8 in	in	0.187	in	dollman_v2 leaf 370 plate	printed	
hall_manor	Window latch	Lambeth Palace, Surrey	length	5 5/8 in	in	0.143	in	dollman_v2 leaf 370 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 1 panel A	from an old house in Lincolnshire	sunk field, width by height	7 3/4 in by 1 ft 0 in	in / ft in	0.102	first measure in prose (in)	dollman_v2 leaf 254 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 1 panel B	from an old house in Lincolnshire	width by height	5 7/8 in by 1 ft 2 1/2 in	in / ft in	0.203	first measure in prose (in)	dollman_v2 leaf 254 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 2 upright panel 1	E. Browning's collection, Stamford	width	7 5/16 in	in	0.186	in	dollman_v2 leaf 258 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 2 upright panel 2	E. Browning's collection, Stamford	width	7 3/16 in	in	0.183	in	dollman_v2 leaf 258 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 2 frieze	E. Browning's collection, Stamford	length	1 ft 2 5/8 in	ft in	0.371	ft-in	dollman_v2 leaf 258 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 2 frieze	E. Browning's collection, Stamford	height	4 3/8 in	in	0.111	in	dollman_v2 leaf 258 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 3 No. 1	from an old house in Lincolnshire	height by width	1 ft 7 1/2 in by 7 1/2 in	ft in	0.305	first measure in prose (ft)	dollman_v2 leaf 262 plate	printed	
hall_manor	Old oak panelling (foreign), Plate 3 No. 2	from an old house in Lincolnshire	height	9 5/8 in	in	0.244	in	dollman_v2 leaf 262 plate	printed	
fortification	Carcassonne outer enceinte		curtain height, ditch bottom or scarp crest to hoarding floor	10	m	10.000	m	Architecture militaire	documented-reconstruction	les courtines de la premiere defense sont maintenues a 10 metres environ du fond du fosse ou de la crete de l'escarpement au sol des hourds
fortification	Carcassonne inner enceinte		curtain height, lices floor to hoarding floor	14 (minimum)	m	14.000	m	Architecture militaire	documented-reconstruction	les courtines de la seconde enceinte ont, du sol des lices au sol des hourds, 14 metres au moins
fortification	French curtains generally, pre-gunpowder		curtain wall thickness (average)	2 to 3	m	2.500	m [range midpoint]	Architecture militaire	measured-fabric	des murs de maconnerie de deux a trois metres d'epaisseur (qui est l'epaisseur moyenne des courtines anterieures a l'emploi regulier des bouches a feu)
fortification	French curtains generally		chemin de ronde width on curtains	2 (maximum)	m	2.000	m	Architecture militaire	measured-fabric	les chemins de ronde qui n'avaient guere que deux metres au plus de largeur
fortification	French parapets generally		crenellated parapet thickness (peacetime, stone, on wall head)	0.50 to 0.70	m	0.600	m [range midpoint]	Architecture militaire	measured-fabric	le mur du parapet dont l'epaisseur varie de 0 m , 50 a 0 m , 70, perce d'archeres rapprochees
fortification	French wall faces generally		ashlar facing thickness over rubble core	0.30 to 0.50	m	0.400	m [range midpoint]	Architecture militaire	measured-fabric	les revetements de pierre qui n'avaient generalement qu'une epaisseur de 30 a 50 centimetres
fortification	Carcassonne outer enceinte		circuit perimeter measured inside the ditches	1400	m	1400.000	m	Tour	measured-fabric	Le perimetre de l'enceinte exterieure est de 1400 metres en dedans des fosses
fortification	Carcassonne		garrison density rule of thumb	1 man per metre of circuit	men/m	1.000	first number, unit column (m)	Tour	viollet-conjecture	c'est environ un homme par metre de developpement qu'il fallait compter pour composer la garnison d'une ville fortifiee
fortification	Vincennes		short side of the enceinte parallelogram, tower projection included	212	m	212.000	m	Architecture militaire	measured-fabric	Le petit cote du parallelogramme de l'enceinte, compris la saillie des tours, a 212 metres
fortification	Vincennes		curtain length between towers	about 100	m	100.000	m	Tour	measured-fabric	Les courtines entre les tours ont environ 100 metres de long, ce qui depasse la limite des anciennes escarpes flanquees
fortification	Langres, 16th-century tower front		wall thickness built against artillery	7.00	m	7.000	m	Architecture militaire	measured-fabric	les murs sont epais (7,00 metres), afin de pouvoir resister a l'artillerie des assiegeants
fortification	Ham, grosse tour		wall thickness	10	m	10.000	m	Tour	documented-reconstruction	la grosse tour, batie par le comte de Saint-Pol, et dont les murs ont 10 metres d'epaisseur
fortification	Roman city walls		gap between the two masonry facings, earth-filled	20 pieds (about 6.5)	m	20.000	first number, unit column (m)	Architecture militaire	documented-reconstruction	il consistait en deux forts parements de maconnerie separes par un intervalle de vingt pieds
fortification	Gaulish timber-and-stone rampart (Caesar)		spacing of the longitudinal timbers	2 pieds (about 0.65)	m	2.000	first number, unit column (m)	Architecture militaire	documented-reconstruction	les placent a une distance de deux pieds l'une de l'autre
fortification	Gaulish timber-and-stone rampart (Caesar)		length of the tie timbers	about 40 pieds (about 13)	m	40.000	first number, unit column (m)	Architecture militaire	documented-reconstruction	les arbres, ayant environ quarante pieds de long, lies entre eux dans l'epaisseur de la muraille
fortification	Siege contravallation		spacing of the double palisade rows	3 to 4	m	3.500	m [range midpoint]	Architecture militaire	viollet-conjecture	doubles rangs de fortes palissades de bois espaces de la longueur d'une pique (trois a quatre metres)
fortification	Stone machicolation, general type		corbel spacing, axis to axis	0.70 to 1.20	m	0.950	m [range midpoint]	Architecture militaire	measured-fabric	On posait des corbeaux les uns sur les autres formant encorbellements espaces environ de 0 m ,70 a 1 m ,20 au plus d'axe en axe
fortification	Stone machicolation, general type		crenellated parapet on the corbel ends: thickness	0.33 to 0.40	m	0.365	m [range midpoint]	Architecture militaire	measured-fabric	Sur l'extremite de ces corbeaux on elevait un parapet crenele B de 0 m ,33 a 0 m ,40 en pierre, et de 2 metres de haut
fortification	Stone machicolation, general type		crenellated parapet on the corbel ends: height	2	m	2.000	m	Architecture militaire	measured-fabric	un parapet crenele B de 0 m ,33 a 0 m ,40 en pierre, et de 2 metres de haut
fortification	Pierrefonds, tour de Charlemagne		machicolation drop-hole width	about 0.42	m	0.420	m	Tour	documented-reconstruction	les trous des machicoulis ont 42 centimetres environ
fortification	Pierrefonds, tour de Charlemagne		largest round stone projectile stacked for the machicolations	up to 0.40	m	0.400	m	Tour	measured-fabric	pierres rondes, cailloux de toutes grosseurs, jusqu'a 40 centimetres de diametre
fortification	Pierrefonds, tour de Charlemagne		drop from the machicolation walk to the projectile floor S	3	m	3.000	m	Tour	documented-reconstruction	du chemin de ronde R sur l'aire S placee a 3 metres au-dessous
fortification	Carcassonne, Visigothic tower		upper room floor below the crenel sill	1.28	m	1.280	m	Tour	documented-reconstruction	Le plancher de la salle superieure, etant a 1 metre 28 centimetres en contre-bas de l'appui des creneaux
fortification	Hand-thrown stones from the wall head		effective projectile weight dropped about 20 m	8 to 10 kg from 20 m	kg/m	20.000	first measure in prose (m)	Tour	viollet-conjecture	De simples cailloux du poids de 8 a 10 kilogrammes, tombant d'une hauteur de 20 metres, etaient les projectiles les plus dangereux
fortification	French towers and curtains generally		arrow loop, external slit width	about 0.10	m	0.100	m	Architecture militaire	measured-fabric	ces ouvertures, qui n'avaient a l'exterieur que 0 m , 10 de largeur environ
fortification	French towers and curtains generally		arrow loop, internal embrasure width	1 to 1.50	m	1.250	m [range midpoint]	Architecture militaire	measured-fabric	et 1 m , a 1 m , 50 a l'interieur
fortification	Arles, Roman gate towers		tower diameter	8	m	8.000	m	Tour	measured-fabric	Ces tours ont 8 metres de diametre et sont espacees l'une de l'autre de 15 metres
fortification	Arles, Roman gate towers		spacing between towers	15	m	15.000	m	Tour	measured-fabric	Ces tours ont 8 metres de diametre et sont espacees l'une de l'autre de 15 metres
fortification	Coucy, outer enceinte (mid 13th c.)		spacing between towers	50 to 60	m	55.000	m [range midpoint]	Tour	measured-fabric	flanquee de tours, la plupart fermees a la gorge et espacees les unes des autres de 50 a 60 metres
fortification	Coucy		distance from a captured outer tower to the foot of the inner enceinte	20	m	20.000	m	Tour	measured-fabric	il se trouvait a 20 metres du pied de l'enceinte interieure
fortification	Coucy		relief of the inner enceinte above the outer chemin de ronde	15	m	15.000	m	Tour	measured-fabric	dont le relief est de 15 metres au-dessus du chemin de ronde S
fortification	Coucy, north-west tower		masonry thickness of the cylinder at level P	5.20 (16 pieds)	m	5.200	first number, unit column (m)	Tour	measured-fabric	la maconnerie du cylindre, au niveau P , a 5 m ,20 d'epaisseur (16 pieds)
fortification	Coucy, north-west tower		outer talus drop below the courtyard level K	8	m	8.000	m	Tour	measured-fabric	Le talus exterieur descend a 8 metres en contre-bas du niveau K , sol de la cour
fortification	Coucy		course height of the tower masonry	0.40 to 0.50	m	0.450	m [range midpoint]	Tour	measured-fabric	merveilleusement executee en assises de 40 a 50 centimetres
fortification	Coucy		wall thickness at the point a workman pierced it in 27 days	4	m	4.000	m	Tour	measured-fabric	un trou d'un metre carre environ dans l'un de ces murs, au-dessus du talus, c'est-a-dire au point ou la maconnerie n'a que 4 metres d'epaisseur
fortification	Carcassonne, tour Saint-Martin		height above the lices military road	25	m	25.000	m	Tour	measured-fabric	la tour Saint-Martin s'eleve de 25 metres au-dessus du chemin militaire des [li]ces [source text corrupt: 'des ces']
fortification	Carcassonne, tour Saint-Martin		height above the city ground	15.50	m	15.500	m	Tour	measured-fabric	et de 15 [m] ,50 au-dessus du sol de la cite [source text prints '15 e ,50']
fortification	Carcassonne, Porte-Rouge front		level difference between two adjoining curtain walks	3	m	3.000	m	Tour	measured-fabric	le chemin de ronde b est a 3 metres au-dessus du chemin de ronde a
fortification	Carcassonne, Saint-Nazaire postern tower		lices floor below the sill of the second door	3	m	3.000	m	Tour	measured-fabric	le sol des lices est a 3 metres en contre-bas du seuil de la seconde porte
fortification	Carcassonne, Saint-Nazaire postern tower		distance from the tower to Saint-Nazaire church	25	m	25.000	m	Tour	measured-fabric	Sa masse sert de masque a l'eglise de Saint-Nazaire, distante seulement de 25 metres
fortification	Carcassonne, tour visigothe area postern		gargoyle height above the lices floor	about 2	m	2.000	m	Tour	measured-fabric	une gargouille est percee en G , a 2 metres environ au-dessus du sol des lices
fortification	Carcassonne, square tower with echauguettes		postern sill above the outside ground	2	m	2.000	m	Tour	measured-fabric	une large poterne dont le seuil est pose a 2 metres au-dessus du sol exterieur
fortification	Aigues-Mortes, tour de Constance		tower height	29	m	29.000	m	Tour	measured-fabric	Cette tour cylindrique a 29 metres de hauteur sur 22 metres de diametre
fortification	Aigues-Mortes, tour de Constance		tower diameter	22	m	22.000	m	Tour	measured-fabric	Cette tour cylindrique a 29 metres de hauteur sur 22 metres de diametre
fortification	Aigues-Mortes, tour de Constance		lantern turret height above the platform	11	m	11.000	m	Tour	measured-fabric	une tourelle de 11 metres s'eleve pres du crenelage sur la plate-forme
fortification	La Rochelle, tour de la Lanterne		tower diameter	16	m	16.000	m	Tour	measured-fabric	C'est une grosse tour de 16 metres de diametre, terminee par une fleche pyramidale de pierre
fortification	La Rochelle, tour de la Lanterne		distance from the harbour mouth	about 100	m	100.000	m	Tour	measured-fabric	a 100 metres environ du goulet du port
fortification	Pierrefonds, donjon flanking towers		external diameter hors oeuvre	15.50	m	15.500	m	Tour	measured-fabric	deux grosses tours cylindriques dont le diametre est de 15 metres 50 centimetres hors oeuvre
fortification	Montepilloy		course height of the tower masonry	0.32 (one pied)	m	0.320	first number, unit column (m)	Tour	measured-fabric	en assises reglees de 0 m , 32 de hauteur (un pied)
fortification	Montlhery, principal tower		diameter above the talus	9.85 (30 pieds)	m	9.850	first number, unit column (m)	Tour	measured-fabric	a 9 m ,85 de diametre au-dessus du talus (30 pieds)
fortification	Montlhery, principal tower		platform level above the donjon door sill	about 35	m	35.000	m	Tour	viollet-conjecture	le niveau de sa plate-forme etait a 35 metres environ au-dessus du seuil de la porte du donjon
fortification	Paris, tour de Nesle		external diameter hors oeuvre	5 toises (about 9.75)	m	5.000	first number, unit column (m)	Tour	documented-reconstruction	La tour de Nesle D avait, hors oeuvre, cinq toises de diametre
fortification	Curton		tower height, dungeon floor to upper platform	33	m	33.000	m	Tour	measured-fabric	La tour de Curton a d'ailleurs 33 metres de hauteur, du niveau du sol du cachot a la plate-forme superieure
fortification	Salses (Salces)		ditch width	about 15	m	15.000	m	Tour	measured-fabric	Un fosse de 15 metres de largeur environ sur 7 metres de profondeur circonscrit tout le chateau
fortification	Salses (Salces)		ditch depth	7	m	7.000	m	Tour	measured-fabric	Un fosse de 15 metres de largeur environ sur 7 metres de profondeur circonscrit tout le chateau
fortification	Cadillac, porte Garonne		town ditch width, water-filled	about 20	m	20.000	m	Tour	measured-fabric	Des fosses de 20 metres de largeur environ, remplis par les eaux de l'Oeille
fortification	Cadillac		rampart height an escalade would have to climb	10	m	10.000	m	Tour	measured-fabric	de passer un fosse plein d'eau, de 20 metres de largeur, et d'escalader un rempart de 10 metres
fortification	Cadillac, porte Garonne		machicolations and loopholes above the curtain walk floor	2	m	2.000	m	Tour	measured-fabric	Les machicoulis et meurtrieres b sont perces a 2 metres en contre-haut du sol de ce chemin de ronde
fortification	16th-century barbette battery		command over the neighbouring curtain parapet crest	about 1	m	1.000	m	Architecture militaire	measured-fabric	La batterie barbette domine la crete du parapet des courtines voisines de 1 metre environ
fortification	Coucy, donjon		external diameter hors oeuvre, lower talus excluded	30.50	m	30.500	m	Donjon	measured-fabric	Le diametre de l'enorme tour, non compris le talus inferieur, a trente metres cinquante centimetres hors oeuvre
fortification	Coucy, donjon		total height, paved ditch bottom to summit, pinnacles excluded	55	m	55.000	m	Donjon	measured-fabric	sa hauteur, du fond du fosse dalle au sommet, non compris les pinacles, est de cinquante-cinq metres
fortification	Coucy, donjon		ditch width between the chemise and the tower	8	m	8.000	m	Donjon	measured-fabric	entre cette chemise et la tour, est un fosse de huit metres de largeur, entierement dalle
fortification	Coucy, donjon		ditch bottom below the postern sill	5	m	5.000	m	Donjon	measured-fabric	dont le fond est a cinq metres en contre-bas du seuil de la poterne
fortification	Coucy, donjon		masonry from the back of a wall niche to the outer circumference	5.50 (minimum)	m	5.500	m	Donjon	measured-fabric	du fond des niches a la circonference de la tour, la maconnerie n'a pas moins de cinq metres cinquante centimetres
fortification	Coucy, donjon		well depth in its present partly filled state	30 (minimum)	m	30.000	m	Donjon	measured-fabric	En D est un puits tres-large, qui n'a pas encore ete vide, mais qui, dans l'etat actuel, n'a pas moins de trente metres de profondeur
fortification	Coucy, donjon		course height of the masonry	0.40 to 0.50	m	0.450	m [range midpoint]	Donjon	measured-fabric	La maconnerie, elevee en assises regulieres de 0,40 c. a 0,50 c. de hauteur, est bien faite
fortification	Coucy, donjon		depth below floor of Metezeau's demolition mine chamber	2	m	2.000	m	Donjon	documented-reconstruction	il chargea, au centre, a deux metres au-dessous du sol, un fourneau de mine
fortification	Louvre, donjon of Philip Augustus		external diameter	20	m	20.000	m	Donjon	documented-reconstruction	nous savons seulement qu'il etait cylindrique, que son diametre exterieur etait de vingt metres et sa hauteur de quarante metres environ
fortification	Louvre, donjon of Philip Augustus		height	about 40	m	40.000	m	Donjon	documented-reconstruction	son diametre exterieur etait de vingt metres et sa hauteur de quarante metres environ
fortification	Rouen, donjon of Philip Augustus		wall thickness at ground and first floor	near 4	m	4.000	first number, unit column (m)	Donjon	measured-fabric	les murs ont pres de quatre metres d'epaisseur
fortification	Etampes, donjon		wall thickness	4 (minimum)	m	4.000	m	Donjon	measured-fabric	un escalier B , pris aux depens de l'epaisseur du mur, qui n'a pas moins de quatre metres
fortification	Etampes, donjon		drop from the postern vestibule into the cellar trap	4 (minimum)	m	4.000	m	Donjon	measured-fabric	tombat d'une hauteur de quatre metres au moins en F sur le sol de la cave
fortification	Vincennes, donjon		square tower height	about 40	m	40.000	m	Donjon	measured-fabric	une tour carree de quarante metres de haut environ avec quatre tourelles d'angle montant de fond
fortification	Vez, donjon		postern sill above the outside ground	about 7	m	7.000	m	Donjon	measured-fabric	La poterne B , munie d'une herse et de vantaux, surmontee de machicoulis, a son seuil pose a sept metres environ au-dessus du sol exterieur
fortification	Vez, donjon		width of the outside path below the postern	6	m	6.000	m	Donjon	measured-fabric	le sol exterieur qui, a cet endroit, ne presente qu'un chemin de six metres de largeur
fortification	Pierrefonds, donjon		uniform course height	0.33 (one pied)	m	0.330	first number, unit column (m)	Donjon	measured-fabric	toutes les assises reglees et d'une epaisseur uniforme de 0,33 c. (un pied) entre lits
fortification	Arques, donjon (c.1040)		facing stone height between beds	0.15 to 0.20	m	0.175	m [range midpoint]	Donjon	measured-fabric	paremente de petites pierres d'appareil de 0,15 c. a 0,20 c. de hauteur entre lits
fortification	Arques, donjon (c.1040)		facing stone length	0.20 to 0.32	m	0.260	m [range midpoint]	Donjon	measured-fabric	de hauteur entre lits, sur 0,20 c. a 0,32 c. de long
fortification	Chateau-Gaillard		well depth	over 80	m	80.000	m	Donjon	measured-fabric	En K est un puits de plus de 80 metres de profondeur
fortification	Chateau-Gaillard		rise of the rock-cut underground stair treads	0.30 to 0.40	m	0.350	m [range midpoint]	Donjon	measured-fabric	un long souterrain ascendant dont les marches taillees dans la craie et le silex n'ont pas moins de 0,30 c. a 0,40 c. de hauteur
fortification	Normandy donjons, general		raised donjon door above the outside ground	6	m	6.000	m	Donjon	measured-fabric	Sa porte est relevee a six metres au-dessus du sol, et s'ouvre sur le flanc de la tour carree
fortification	Early feudal town and castle gates		carriage opening width	barely 3	m	3.000	first number, unit column (m)	Porte	measured-fabric	elles ont a peine 3 metres d'ouverture sur 3 a 4 metres de hauteur sous clef
fortification	Early feudal town and castle gates		height under the keystone	3 to 4	m	3.500	m [range midpoint]	Porte	measured-fabric	elles ont a peine 3 metres d'ouverture sur 3 a 4 metres de hauteur sous clef
fortification	Carcassonne, chateau gate (c.1120)		gate opening width	under 2	m	2.000	m	Porte	measured-fabric	La porte, qui n'a pas 2 metres de largeur sur 2 m ,30 de hauteur
fortification	Carcassonne, chateau gate (c.1120)		gate opening height	2.30	m	2.300	m	Porte	measured-fabric	La porte, qui n'a pas 2 metres de largeur sur 2 m ,30 de hauteur
fortification	Carcassonne, chateau gate (c.1120)		removable-deck pit in front of the gate: length	about 3	m	3.000	m	Porte	measured-fabric	laisse en avant de l'entree une fosse de 3 metres environ de longueur sur 3 metres de largeur
fortification	Carcassonne, chateau gate (c.1120)		removable-deck pit in front of the gate: width	3	m	3.000	m	Porte	measured-fabric	une fosse de 3 metres environ de longueur sur 3 metres de largeur
fortification	Carcassonne, chateau gate (c.1120)		vertical command holes through the vaults	0.63 by 0.50	m	0.630	first number, unit column (m)	Porte	measured-fabric	Ces trous, qui ont 0 m ,63 de largeur sur 0 m ,50 de large, permettaient meme au besoin de placer des echelles
fortification	Carcassonne, chateau		drop from the forced postern to the inner courtyard	7	m	7.000	m	Architecture militaire	measured-fabric	qu'on se trouvait a 7 metres en contre-bas de la cour interieure L du chateau
fortification	Carcassonne, inner-enceinte postern in the bishop's curtain		postern height	2	m	2.000	m	Architecture militaire	measured-fabric	qui n'a que 2 metres de hauteur sur 0 m , 90 de largeur
fortification	Carcassonne, inner-enceinte postern in the bishop's curtain		postern width	0.90	m	0.900	m	Architecture militaire	measured-fabric	qui n'a que 2 metres de hauteur sur 0 m , 90 de largeur
fortification	Carcassonne, inner-enceinte postern in the bishop's curtain		sill above the lices floor	12	m	12.000	m	Architecture militaire	measured-fabric	et dont le seuil est place a 12 metres au-dessus du sol des lices
fortification	Carcassonne, outer-enceinte postern near the porte de l'Aude		rock scarp below the postern	about 7	m	7.000	m	Architecture militaire	measured-fabric	celle-ci est ouverte au-dessus d'un escarpement de rochers de 7 metres de hauteur environ
fortification	Coucy, porte de Laon		great first-floor hall length	22	m	22.000	m	Porte	measured-fabric	La grande salle S , ayant 22 metres de longueur sur 8 metres de largeur
fortification	Coucy, porte de Laon		great first-floor hall width	8	m	8.000	m	Porte	measured-fabric	La grande salle S , ayant 22 metres de longueur sur 8 metres de largeur
fortification	Coucy, porte de Laon		ordinary garrison the gate could hold	50 to 60 men	men	50.000	first number, unit column (m)	Porte	viollet-conjecture	un poste de cinquante a soixante hommes pouvait facilement tenir dans cet ouvrage en temps ordinaire
fortification	Villeneuve-lez-Avignon gate (late 13th c.)		opening at its narrowest point	4.20	m	4.200	m	Porte	measured-fabric	Son ouverture, au point le plus etroit, est de 4 m ,20, largeur inusitee pour les portes des XIIe et XIIIe siecles
fortification	Villeneuve-lez-Avignon gate		course height of the masonry	0.27	m	0.270	m	Porte	measured-fabric	elevee en excellente pierre de Villeneuve, par assises reglees de 0 m ,27 de hauteur
fortification	Villeneuve-lez-Avignon gate		iron rings carrying the portcullis chain pulleys	0.25	m	0.250	m	Porte	measured-fabric	les trois anneaux de fer, de 0 m ,25 de diametre, qui servaient a suspendre les poulies
fortification	Standard 14th-century carriage gate		opening height	about 3.50	m	3.500	m	Porte	viollet-conjecture	ayant environ, suivant l'usage admis au XIVe siecle, 3 m ,50 de hauteur sur 3 m ,50 de largeur
fortification	Standard 14th-century carriage gate		opening width	about 3.50	m	3.500	m	Porte	viollet-conjecture	ayant environ, suivant l'usage admis au XIVe siecle, 3 m ,50 de hauteur sur 3 m ,50 de largeur
fortification	Postern with single-arm drawbridge, 14th-15th c.		bay width	1 (maximum)	m	1.000	m	Porte	measured-fabric	Elles se composent d'une baie d'un metre de largeur au plus et de 2 metres a 2 m ,50 de hauteur
fortification	Postern with single-arm drawbridge, 14th-15th c.		bay height	2 to 2.50	m	2.250	m [range midpoint]	Porte	measured-fabric	d'une baie d'un metre de largeur au plus et de 2 metres a 2 m ,50 de hauteur
fortification	Pierrefonds, supply postern		sill above the outside road	10	m	10.000	m	Porte	measured-fabric	la poterne de ravitaillement du chateau de Pierrefonds est elevee de 10 metres au-dessus du chemin exterieur
fortification	Pierrefonds, supply postern		thickness of the curtain it pierces	3	m	3.000	m	Porte	measured-fabric	Cette poterne de ravitaillement est percee a travers une haute courtine ayant 3 metres d'epaisseur
fortification	Pierrefonds, supply postern		top of the inclined plane below the sill	2	m	2.000	m	Porte	viollet-conjecture	s'elevait du chemin jusqu'a un niveau en contre-bas de 2 metres du seuil
fortification	Pierrefonds, supply postern		gap between the inclined plane and the curtain, spanned by the drawbridge	4	m	4.000	m	Porte	viollet-conjecture	et a 4 metres de distance de la courtine
fortification	Pierrefonds, chateau		garrison the castle could hold	1200 men	men	1200.000	first number, unit column (m)	Porte	viollet-conjecture	Le chateau de Pierrefonds pouvait facilement contenir une garnison de 1 200 hommes
fortification	Villeneuve-sur-Yonne		ditch width crossed by the approach bridge	12	m	12.000	m	Porte	measured-fabric	le ponceau qui precede la porte, et qui passe sur un fosse de 12 metres de largeur
fortification	Carcassonne, porte Narbonnaise		mortar bed thickness in the ashlar	about 0.01	m	0.010	m	Porte	measured-fabric	les lits, tres-bien dresses et poses sur couche de mortier excellent, ont 0 m ,01 d'epaisseur en moyenne
fortification	Crossbow from the wall head		point-blank effective range	about 60	m	60.000	m	Tour	viollet-conjecture	les arbaletriers, qui envoyaient leurs carreaux de but en blanc a 60 metres environ
fortification	Tower loopholes, Coucy outer enceinte		flat-trajectory sweep from the tower circumference	60	m	60.000	m	Tour	viollet-conjecture	elles envoyaient des projectiles divergeant de plein fouet a 60 metres de leur circonference
fortification	Counterweight engines on tower platforms		effective range	150 to 200	m	175.000	m [range midpoint]	Tour	viollet-conjecture	dont le tir etait tres-precis et l'effet terrible jusqu'a une portee de 150 a 200 metres
fortification	Pierrefonds tower crown, combined fire		radius the defenders could cover	150 to 200	m	175.000	m [range midpoint]	Tour	viollet-conjecture	dans un rayon de 150 a 200 metres, les defenseurs pouvaient couvrir le terrain d'une quantite innombrable de carreaux, de viretons et de pierres
fortification	Orleans 1428, defenders' cannon		point-blank range	600	m	600.000	m	Tour	documented-reconstruction	possedaient cependant des canons envoyant des balles de plein fouet a 600 metres
fortification	16th-century siege battery		concentration needed to breach a 2-3 m wall	300 to 500 shot on about 8 m2	shot/m2		unparsed	Architecture militaire	documented-reconstruction	ne pouvaient resister a une batterie envoyant de trois a cinq cents boulets sur une surface de huit metres carres environ
viollet_general	Antique-system worked example		clear span to be covered (fig.2)	7.60	m	7.600	m	Charpente, Viollet-le-Duc, Dictionnaire raisonne		supposons que l’intervalle à couvrir NO soit de sept mètres soixante centimètres
viollet_general	Charpente		Antique-system arbalétrier scantling (fig.2)	0.20	m (square)	0.200	m (qualified)	Charpente, Viollet-le-Duc, Dictionnaire raisonne		les arbalétriers ayant 0,20 c. d’équarrissage
viollet_general	Charpente		Antique-system chevron scantling (fig.2)	0.12	m	0.120	m	Charpente, Viollet-le-Duc, Dictionnaire raisonne		et les chevrons 0,12 c
