source_manifest	canonical_element	building	element_as_written	value	unit	value_m	source	evidence	quote
building_dimensions_v1.tsv			table_I_location	cited as p.135; NOT located	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210/p.194/p.208 etc	UNRESOLVED	Six separate cross-references all read 'Table I (p. 135)'. Volume 2 has essentially no Table I references, so it is in volume 1, but the leaf predicted by the formula (275) is prose - and that region is EVEN-readable, so the arithmetic was invalid there. Next step: read a page number off an even leaf in 240-359 to re-anchor, then jump.
building_dimensions_v1.tsv			sliding_criterion_soft_mortar	45-60	degrees		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194	stated-explicitly	Sliding of the abutment may occur with SOFT mortar if the angle between the direction of the pressure and the bed is LESS than 45-60 deg.
building_dimensions_v1.tsv			sliding_criterion_hard_mortar	30-45	degrees		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194	stated-explicitly	With HARDENED mortar sliding may occur if that angle is under 30-45 deg. So a harder mortar tolerates a shallower pressure-to-bed angle.
building_dimensions_v1.tsv			sliding_remedy	change the bed position; dowels are weaker	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194	stated-explicitly	Slipping is prevented by re-orienting the bed (tilting the joint toward perpendicular to the thrust), 'or less effectively by dowels'.
building_dimensions_v1.tsv			damp_proof_course_hazard	soft pitchy isolating beds have slid whole masonry masses	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194	stated-explicitly	Named construction hazard: do not form the damp-proof bed of soft pitchy material - 'this has already permitted the sliding of an entire mass of masonry'. Isolating beds only where compression acts almost perpendicular to the bed, and the isolating material must be neither too soft nor too smooth.
building_dimensions_v1.tsv			overturning_inequality	G1*a1 + G2*a2 + W2*n  >  W1*m	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194	stated-explicitly	Safety against overturning: moments taken about the outer dangerous angle A; favourable rotation moments (force x lever arm) must exceed unfavourable. Overturning occurs most easily at the bottom of the foundation.
building_dimensions_v1.tsv			why_joints_are_radial	the radial joint plane satisfies the sliding criterion	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.158 + p.194	derived-verified	CAUSAL LINK between two pages: p.158 requires the joint plane be perpendicular to the diagonal groin's vertical plane (radial in section); p.194 shows sliding occurs when the pressure-to-bed angle drops below 30-60 deg. The radial joint exists to keep that angle steep. Vault coursing geometry is a CONSEQUENCE of the sliding limit, not an aesthetic choice.
building_dimensions_v1.tsv			table_ghosts_ocr_digits_better	find tables via high-digit GHOST leaves, read leaf +/- 1	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan	derived-verified	RECIPE INVERSION: the actual table leaves 431/433/435/437/439 contain ZERO digits in their OCR, while their ghost neighbours 438/440/442/444 carry 150-470 digits each. Mirror show-through of a numeric table OCRs its figures far better than the table itself. So numeric tables are located by scanning for DIGIT-RICH GHOSTS, then reading the adjacent leaf.
building_dimensions_v1.tsv			numeric_table_census_vol1	only two clusters: leaf ~395 and leaves ~431-449	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan	derived-verified	Whole-volume scan for digit-rich leaves found table clusters ONLY at leaf 395 (materials strength, printed p.195) and leaves 431-449 (Tables II-V plus the edge-pressure table). No numeric table exists anywhere in leaves 240-360.
building_dimensions_v1.tsv			table_I_absent_from_translation	not present as a table in vol 1	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194/p.210 citations	NEGATIVE-RESULT	CLOSED. Six cross-references read 'Table I (p. 135)', but: (a) leaves 240-360 - where p.135 falls under either parity - are uniformly dense prose with no numeric table; (b) the volume-wide digit census finds no table cluster there; (c) volume 2 has essentially no Table I references. Most probable explanation: the 'p. 135' citations retain the GERMAN ORIGINAL's pagination, which the 1920 student ty
building_dimensions_v1.tsv			page_numbers_not_always_present	some leaves have no page number in the top margin	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan	derived-verified	Leaves 274 and 300 begin body text at the very top with no page number, so page-number anchoring is not reliably available in this scan. Both also show readable text OVERLAID with its own mirror in the same band.
building_dimensions_v1.tsv			masonry_carries_no_tension	design in compression only	—		Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) leaf 300	stated-explicitly	From the 'Vaults with only compressile stresses' passage: with the scarcely elastic properties of all stone and mortar it is 'always risky to count on their unbroken resistance'. Also notes that 'not without reason the practical Renaissance supported the heavy vaults by very powerful abutments', and warns against too trustful use of wide flat ceilings.
building_dimensions_v1.tsv	roof_span	St Martin's Church, Leicester	roof span	23 0	ft in	7.010	Brandon 1849	VERIFIED	Carries the entire roof; ridge and purlins bear on it via short templates (3 ft 6 in / 2 ft 6 in).
building_dimensions_v1.tsv	bay_spacing	St Martin's Church, Leicester	truss spacing	12 6	ft in	3.810	Brandon 1849	VERIFIED	Carries the entire roof; ridge and purlins bear on it via short templates (3 ft 6 in / 2 ft 6 in).
building_dimensions_v1.tsv	member_section	St Martin's Church, Leicester	Tie-beam scantling	1 ft 8 in x 1 ft 2 in	in	0.508	Brandon 1849	VERIFIED	Carries the entire roof; ridge and purlins bear on it via short templates (3 ft 6 in / 2 ft 6 in).
building_dimensions_v1.tsv	roof_span	St Martin's Church, Leicester	roof span	23 0	ft in	7.010	Brandon 1849	VERIFIED	Framed into the tie-beam; does not touch the wall.
building_dimensions_v1.tsv	bay_spacing	St Martin's Church, Leicester	truss spacing	12 6	ft in	3.810	Brandon 1849	VERIFIED	Framed into the tie-beam; does not touch the wall.
building_dimensions_v1.tsv	member_section	St Martin's Church, Leicester	Cornice scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	Framed into the tie-beam; does not touch the wall.
building_dimensions_v1.tsv	roof_span	St Martin's Church, Leicester	roof span	23 0	ft in	7.010	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	St Martin's Church, Leicester	truss spacing	12 6	ft in	3.810	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	St Martin's Church, Leicester	Purlin scantling	10 in x 10 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	St Martin's Church, Leicester	roof span	23 0	ft in	7.010	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	St Martin's Church, Leicester	truss spacing	12 6	ft in	3.810	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	St Martin's Church, Leicester	Ridge scantling	10 in x 9 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	St Martin's Church, Leicester	roof span	23 0	ft in	7.010	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	St Martin's Church, Leicester	truss spacing	12 6	ft in	3.810	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	St Martin's Church, Leicester	Common Rafter scantling	6.5 in x 4.5 in	in	0.165	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Chapel of the Holy Trinity, Cirencester	roof span	18 0	ft in	5.486	Brandon 1849	VERIFIED	Deepest tie-beam in the set. Supersedes the cycle-5 OCR-PARTIAL rows, which were Leicester values showing through and are now DELETED.
building_dimensions_v1.tsv	bay_spacing	Chapel of the Holy Trinity, Cirencester	truss spacing	11 0	ft in	3.353	Brandon 1849	VERIFIED	Deepest tie-beam in the set. Supersedes the cycle-5 OCR-PARTIAL rows, which were Leicester values showing through and are now DELETED.
building_dimensions_v1.tsv	member_section	Chapel of the Holy Trinity, Cirencester	Tie-beam scantling	2 ft 8 in x 11 in	in	0.813	Brandon 1849	VERIFIED	Deepest tie-beam in the set. Supersedes the cycle-5 OCR-PARTIAL rows, which were Leicester values showing through and are now DELETED.
building_dimensions_v1.tsv	roof_span	Chapel of the Holy Trinity, Cirencester	roof span	18 0	ft in	5.486	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Chapel of the Holy Trinity, Cirencester	truss spacing	11 0	ft in	3.353	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Chapel of the Holy Trinity, Cirencester	Cornice scantling	1 ft 9 in x 11 in	in	0.533	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Chapel of the Holy Trinity, Cirencester	roof span	18 0	ft in	5.486	Brandon 1849	VERIFIED	Single-dimension entry (thickness only) as printed.
building_dimensions_v1.tsv	bay_spacing	Chapel of the Holy Trinity, Cirencester	truss spacing	11 0	ft in	3.353	Brandon 1849	VERIFIED	Single-dimension entry (thickness only) as printed.
building_dimensions_v1.tsv	member_section	Chapel of the Holy Trinity, Cirencester	Intermediate Principal scantling	8 in thick x 	in	0.203	Brandon 1849	VERIFIED	Single-dimension entry (thickness only) as printed.
building_dimensions_v1.tsv	roof_span	Chapel of the Holy Trinity, Cirencester	roof span	18 0	ft in	5.486	Brandon 1849	VERIFIED	Single-dimension entry as printed.
building_dimensions_v1.tsv	bay_spacing	Chapel of the Holy Trinity, Cirencester	truss spacing	11 0	ft in	3.353	Brandon 1849	VERIFIED	Single-dimension entry as printed.
building_dimensions_v1.tsv	member_section	Chapel of the Holy Trinity, Cirencester	Braces scantling	3 in thick x 	in	0.076	Brandon 1849	VERIFIED	Single-dimension entry as printed.
building_dimensions_v1.tsv	roof_span	St Andrew's Church	roof span	about 21 0	ft in	6.401	Brandon 1849	VERIFIED	"Description gives only nave width, ~21 ft. Cites ""Roof over the Nave of St Stephen's Church, Plates 32 and 33"" — the anchor confirming plate N -> leaf 2N+61."
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	A moulded three-inch plank is tenoned into the hammer-beams; openwork tracery inserted between it and the lowest purlin.
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	A moulded three-inch plank is tenoned into the hammer-beams; openwork tracery inserted between it and the lowest purlin.
building_dimensions_v1.tsv	member_section	Capel St Mary	Principal Rafters scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	A moulded three-inch plank is tenoned into the hammer-beams; openwork tracery inserted between it and the lowest purlin.
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Capel St Mary	Common Rafters scantling	6 in x 3 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	Same section as principal rafters and collar-beam — one stock size serves three members.
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	Same section as principal rafters and collar-beam — one stock size serves three members.
building_dimensions_v1.tsv	member_section	Capel St Mary	Hammer-beam scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	Same section as principal rafters and collar-beam — one stock size serves three members.
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Capel St Mary	Collar-beam scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Capel St Mary	Purlins scantling	6 in x 5 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Capel St Mary	roof span	18 3	ft in	5.563	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Capel St Mary	truss spacing	6 0	ft in	1.829	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Capel St Mary	Ridge-piece scantling	6 in x 6 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Trunch Church	roof span	19 0	ft in	5.791	Brandon 1849	VERIFIED	Worstead Church has a very similar design but a wider nave with hammer-beams projecting less in proportion, which the authors call grander.
building_dimensions_v1.tsv	bay_spacing	Trunch Church	truss spacing	5 6	ft in	1.676	Brandon 1849	VERIFIED	Worstead Church has a very similar design but a wider nave with hammer-beams projecting less in proportion, which the authors call grander.
building_dimensions_v1.tsv	member_section	Trunch Church	Principal Rafters scantling	10 in x 9 in	in	0.254	Brandon 1849	VERIFIED	Worstead Church has a very similar design but a wider nave with hammer-beams projecting less in proportion, which the authors call grander.
building_dimensions_v1.tsv	roof_span	Trunch Church	roof span	19 0	ft in	5.791	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Trunch Church	truss spacing	5 6	ft in	1.676	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Trunch Church	Common Rafters scantling	6 in x 4 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Trunch Church	roof span	19 0	ft in	5.791	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Trunch Church	truss spacing	5 6	ft in	1.676	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Trunch Church	Hammer-beam scantling	10 in x 10 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Trunch Church	roof span	19 0	ft in	5.791	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Trunch Church	truss spacing	5 6	ft in	1.676	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Trunch Church	Purlin scantling	8 in x 5 in	in	0.203	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Trunch Church	roof span	19 0	ft in	5.791	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Trunch Church	truss spacing	5 6	ft in	1.676	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Trunch Church	Ridge-piece scantling	10 in x 10 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Palgrave Church	roof span	20 4	ft in	6.198	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Palgrave Church	truss spacing	5 9	ft in	1.753	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Palgrave Church	Principal Rafters scantling	1 ft 1 in x 10 in	in	0.330	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Palgrave Church	roof span	20 4	ft in	6.198	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Palgrave Church	truss spacing	5 9	ft in	1.753	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Palgrave Church	Common Rafters scantling	6 in x 4 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Palgrave Church	roof span	20 4	ft in	6.198	Brandon 1849	VERIFIED	Same section as the principal rafters.
building_dimensions_v1.tsv	bay_spacing	Palgrave Church	truss spacing	5 9	ft in	1.753	Brandon 1849	VERIFIED	Same section as the principal rafters.
building_dimensions_v1.tsv	member_section	Palgrave Church	Hammer-beam scantling	1 ft 1 in x 10 in	in	0.330	Brandon 1849	VERIFIED	Same section as the principal rafters.
building_dimensions_v1.tsv	roof_span	Palgrave Church	roof span	20 4	ft in	6.198	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Palgrave Church	truss spacing	5 9	ft in	1.753	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Palgrave Church	Cornice scantling	1 ft 7 in x 7 in	in	0.483	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Palgrave Church	roof span	20 4	ft in	6.198	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Palgrave Church	truss spacing	5 9	ft in	1.753	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Palgrave Church	Wall-piece scantling	10 in x 7 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Brinton Church	roof span	17 0	ft in	5.182	Brandon 1849	VERIFIED	"RIDGE ANGLE STATED: ""the angle formed by the rafters at the ridge is of 100 degrees"" = a 40-degree pitch. Only explicit pitch in the set so far."
building_dimensions_v1.tsv	bay_spacing	Brinton Church	truss spacing	12 0	ft in	3.658	Brandon 1849	VERIFIED	"RIDGE ANGLE STATED: ""the angle formed by the rafters at the ridge is of 100 degrees"" = a 40-degree pitch. Only explicit pitch in the set so far."
building_dimensions_v1.tsv	member_section	Brinton Church	Principal Rafters scantling	10.5 in x 9 in	in	0.267	Brandon 1849	VERIFIED	"RIDGE ANGLE STATED: ""the angle formed by the rafters at the ridge is of 100 degrees"" = a 40-degree pitch. Only explicit pitch in the set so far."
building_dimensions_v1.tsv	roof_span	Brinton Church	roof span	17 0	ft in	5.182	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Brinton Church	truss spacing	12 0	ft in	3.658	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Brinton Church	Common Rafters scantling	6 in x 4 in	in	0.152	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Brinton Church	roof span	17 0	ft in	5.182	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Brinton Church	truss spacing	12 0	ft in	3.658	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Brinton Church	Purlin scantling	7 in x 6 in	in	0.178	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Brinton Church	roof span	17 0	ft in	5.182	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Brinton Church	truss spacing	12 0	ft in	3.658	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Brinton Church	Ridge-piece scantling	9 in x 7 in	in	0.229	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	"Truss-spacing line is printed ""7 by 10"" in the ft/in columns; read as 7 ft 10 in by analogy with the other spacing rows."
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	"Truss-spacing line is printed ""7 by 10"" in the ft/in columns; read as 7 ft 10 in by analogy with the other spacing rows."
building_dimensions_v1.tsv	member_section	Fressingfield Church	Principal Rafters scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	"Truss-spacing line is printed ""7 by 10"" in the ft/in columns; read as 7 ft 10 in by analogy with the other spacing rows."
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Common Rafter scantling	7 in x 3 in	in	0.178	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Hammer-beam scantling	10 in x 8 in	in	0.254	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Collar-beam scantling	1 ft 2 in x 8 in	in	0.356	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Wall-piece scantling	11 in x 8 in	in	0.279	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Purlin scantling	7.5 in x 5.5 in	in	0.191	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Fressingfield Church	roof span	19 8	ft in	5.994	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	bay_spacing	Fressingfield Church	truss spacing	7 10	ft in	2.388	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	member_section	Fressingfield Church	Depth of Cornice scantling	3 in x 3.5 in	in	0.089	Brandon 1849	VERIFIED	
building_dimensions_v1.tsv	roof_span	Heckington Church (south porch)	roof span	10 9	ft in	3.277	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	bay_spacing	Heckington Church (south porch)	truss spacing	1 2	ft in	0.356	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	member_section	Heckington Church (south porch)	Rafters scantling	5.5 in x 4.5 in	in	0.140	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	roof_span	Heckington Church (south porch)	roof span	10 9	ft in	3.277	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	bay_spacing	Heckington Church (south porch)	truss spacing	1 2	ft in	0.356	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	member_section	Heckington Church (south porch)	Central Plate scantling	4 in x 2.5 in	in	0.102	Brandon 1849	VERIFIED	Rafters at 1 ft 2 in centres — no trusses at all. A cornice plate projecting from the wall receives struts and wall-beams by tenon and is called 'of considerable importance in keeping all the trusses in their proper positions' = the longitudinal alignment member. Boarded longitudinally, covered with lead.
building_dimensions_v1.tsv	roof_span	Starston Church	roof span	21 10	ft in	6.655	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	member_section	Starston Church	Principal Rafters scantling	10 in x 9 in	in	0.254	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	roof_span	Starston Church	roof span	21 10	ft in	6.655	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	member_section	Starston Church	Common Rafters scantling	6 in x 4 in	in	0.152	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	roof_span	Starston Church	roof span	21 10	ft in	6.655	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	member_section	Starston Church	Wall-piece scantling	10 in x 7.5 in	in	0.254	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	roof_span	Starston Church	roof span	21 10	ft in	6.655	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	member_section	Starston Church	Purlin scantling	6.5 in x 5.5 in	in	0.165	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	roof_span	Starston Church	roof span	21 10	ft in	6.655	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	member_section	Starston Church	Cornice scantling	11 in x 10 in	in	0.279	Brandon 1849	VERIFIED	No truss spacing printed for this roof.
building_dimensions_v1.tsv	roof_span	Bacton Church	roof span	19 4	ft in	5.893	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	bay_spacing	Bacton Church	truss spacing	6 4.5	ft in	1.943	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	member_section	Bacton Church	Hammer-beams scantling	10.5 in x 9 in	in	0.267	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	roof_span	Bacton Church	roof span	19 4	ft in	5.893	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	bay_spacing	Bacton Church	truss spacing	6 4.5	ft in	1.943	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	member_section	Bacton Church	Principal Rafters scantling	9.5 in x 9 in	in	0.241	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	roof_span	Bacton Church	roof span	19 4	ft in	5.893	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	bay_spacing	Bacton Church	truss spacing	6 4.5	ft in	1.943	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	member_section	Bacton Church	Common Rafters scantling	6 in x 3 in	in	0.152	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
building_dimensions_v1.tsv	roof_span	Bacton Church	roof span	19 4	ft in	5.893	Brandon 1849	VERIFIED	Spacing 6 ft 4.5 in sits inside the hammer-beam band, confirming the cycle-6 rule. Cites Brandon's 'Parish Churches'. Cornice depth printed in the ft/in columns as 3 0.
