french	english	category	definition	source_article
jour (a jour, ajoure)	openwork, pierced; also light, opening	stair-member	VERIFICATION CORRECTED. The reader's '30 occurrences, mostly in the sense of light' was a substring count polluted by toujours/aujourd'hui/journees/sejour. Word-boundary count in Escalier = 9, of which 5 are 'a jour' = OPENWORK ('une double arcature a jour', 'portique a jour', 'cloture a jour', 'panneau a jour', 'on les mit a jour') and 3 are prendre jour = to take light. Plus ajoure* five times. The dominant sense is OPENWORK. Viollet never uses jour for the open well of a newel-less vis - he says 'a la place du noyau etait un vide'. || SOURCE ENTRIES: [Escalier] 'ils s'eclairaient aisement'; 'a la place du noyau etait un vide'; 'ajoure(e)' = pierced/open; 'une double arcature a jour'; 'cages en partie ou totalement a claire-voie'. NOTE: 30 occurrences, mostly in the sense of light or of an openwork screen. Viollet does not use jour for the open well; he says 'un vide'.	Escalier
palier	landing	stair-member	[Escalier] The level platform at a floor or between flights. 25 occurrences. 'un palier d'entresol A'; 'le palier de premier etage B'. NOTE: Rule: 'les hauteurs des paliers pussent concorder avec les hauteurs des planchers'. || [Maison] In fig 3 the first landing carries a bench, the second is closed in front of the solid entrance door.	Escalier; Maison
marche paliere	landing tread, the step that forms part of the landing	stair-member	[Escalier] In timber stairs, the last step of a flight doubling as the landing member, halved into the post and part-borne on a poutrelle. 8 occurrences. NOTE: Key joint in fig.27/28; bolted through the gousset.	Escalier
limon	string, stringer (of a wooden stair)	stair-member	[Escalier] The raking beam carrying the steps, into which they are tenoned. 25 occurrences. Straight (limon droit) or helical (limon spirale). NOTE: In fig.32 a limon spirale assembled into the step abouts carries the rotating cylindrical partition.	Escalier
main-courante / main courante	handrail	stair-member	[Escalier] Worked in the solid of a stone or timber newel ('la main-courante prise dans la masse'), or framed into the posts in a timber stair ('leurs mains-courantes dans les poteaux'). NOTE: In the newel-less vis the handrail is the stack of boudins on the step ends instead.	Escalier
boudin	roll moulding; here the rolled inner end of a newel-less winder	stair-member	[Escalier] 'portaient chacune un boudin a leur extremite, pres du centre, pour offrir une main-courante'. NOTE: One occurrence but structurally decisive: the boudins stacked in a helix ARE the handrail.	Escalier; Construction -- Voutes
balustrade	balustrade, parapet of a flight	stair-member	[Escalier] 5 occurrences; can be pierced/turned (fig.16, 17, 27) or 'pleine' (solid, panelled) as at the Chambre des comptes. NOTE: Posts (poteaux de balustrades / montants) tenon into the limon, rails into the corner posts.	Escalier
perron	perron, external flight/platform giving access to a piano nobile / external stair and platform up to a raised door	stair-member	[Escalier] Explicitly NOT to be confused with an escalier exterieur: 'les escaliers exterieurs (qu'il ne faut pas confondre avec les perrons)'. NOTE: Great halls were reached 'par de larges perrons' (Paris, Poitiers) — a wide monumental external approach, not a stair serving storeys. || [Maison] 'ces escaliers exterieurs, ou grands perrons, jouent un role important dans les habitations des XIe et XIIe siecles.' NOTE: Cross-referenced to the article Perron.	Escalier; Maison
delarder / delarde	to dress off, to bevel away; a step whose underside is dressed to a smooth rake	stair-member	[Escalier] 6 occurrences. 'les marches delardees par dessous', 'toutes les marches sont par dessous delardees'. NOTE: Produces the plafond rampant. This is why a medieval vis has a smooth helical soffit rather than a stepped one.	Escalier
plafond rampant	raking soffit	stair-member	[Escalier] The sloping underside formed by the dressed step undersides: 'Ces marches seront delardees par-dessous et formeront plafond rampant.' NOTE: Generator: the soffit is a helicoid, not a staircase; two occurrences.	Escalier
chanfreiner	to chamfer	stair-member	VERIFICATION CORRECTED. The reader called it 'the cheaper alternative to delarder'; Viollet does not say cheaper. He says it eases headroom - 'Quelquefois, pour faciliter l'echappement, les marches sont chanfreinees par-dessous' - and elsewhere 'delardees ou SIMPLEMENT chanfreinees, ou meme laissees a angles vifs'. The three-state enum {delarde, chanfreine, angles vifs} IS textually grounded; the cost reading is the reader's inference. || SOURCE ENTRIES: [Escalier] The cheaper alternative to delarder: 'les marches sont chanfreinees par-dessous ainsi qu'on le voit en D' — done to improve the echappement. NOTE: Three states available to a generator: delarde (smooth), chanfreine (chamfered), or a angles vifs (left square).	Escalier
echappement	headroom, clearance overhead	stair-member	[Escalier] 'Quelquefois, pour faciliter l'echappement, les marches sont chanfreinees par-dessous.' NOTE: One occurrence, but it names the constraint that drives the underside treatment.	Escalier
debillarder / debillardement	to cut a twisted/warped shape out of the solid	stair-member	[Escalier] The shaping of a solid winder from a log or block: 'Ce debillardement des marches ne perd aucune des parties solides'; 'les marches debillardees, pleines'. NOTE: 3 occurrences. A specific stereotomy/joinery verb worth keeping.	Escalier
recouvrement	the overlap of one step over the next	stair-member	[Escalier] 'Les recouvrements sont indiques par lignes ponctuees'; 'Les espaces EF donnent le recouvrement des marches l'une sur l'autre'. NOTE: In fig.9 and fig.30 the overlap is drawn dotted — a drawing convention that also encodes the joint.	Escalier
etresillon	strut, brace	stair-member	[Escalier] 'il avait encore l'avantage de relier le noyau avec la cage par toutes ces marches qui formaient autant d'etresillons'. NOTE: One occurrence but a first-class structural claim: the treads brace the newel against the cage wall.	Escalier
berceau en spirale / voute rampante	helical barrel vault / raking vault	stair-member	[Escalier] The vault under the earliest medieval vis: 'un berceau en spirale bati en moellon, reposant sur le noyau et sur le parement circulaire interieur'. NOTE: Dropped from the beginning of the XIII c. Viollet notes the sommiers of a raking vault are slow to set out, waste much stone and need special care in setting.	Escalier
couchis	lagging, the boarding over the centring on which small rubble is laid / lagging, boarding over centering	tool-process	[Escalier] 'grossierement faites en petits moellons maconnes sur couchis'. NOTE: Two occurrences; the thing the XIII c. method eliminates, along with the cintres. || [Construction -- Voutes] The boards laid from centering to centering to carry the masonry. NOTE: Its ABSENCE is the point: 'l'on procede de suite a la construction des voutes sans couchis'.	Escalier; Construction -- Voutes
cintre / cintrage	centring, formwork arch / centering, formwork arch	tool-process	[Escalier] 'Ce procede evitait les cintres, les couchis, une main-d'oeuvre assez longue sur le tas.' NOTE: The economic argument for the self-supporting step. || [Construction -- Voutes] Timber arch supporting masonry until it closes. NOTE: 'les causes de depenses les plus importantes... ce sont les cintrages de bois'.	Escalier; Construction -- Voutes
sommier	springer (the lowest voussoir of an arch or vault)	vault-member	[Escalier] 'un petit epaulement H pour recevoir les sommiers du berceau'. NOTE: Bears on the newel epaulement one side, notched into the cage wall the other. || [Construction -- Voutes] The lowest stone(s) of an arch, at the springing. NOTE: In Gothic practice one stone contains the interpenetrating starts of several ribs.	Escalier; Construction -- Voutes
epaulement	shoulder, seating ledge	stair-member	[Escalier] The shoulder cut to receive a bearing — on a newel drum for the vault springer, or under a step mortise in a timber newel to relieve the bearing. NOTE: Same word does duty in stone and timber; a generator can treat it as one feature.	Escalier
tambour	drum (a course of a cylindrical newel)	stair-member	[Escalier] 'Les tambours du noyau portent un petit epaulement H'; 'Voici, fig. 8, comme sont tailles les tambours du noyau'. NOTE: The unit of the early newel.	Escalier
assises hautes	tall courses	stair-member	[Escalier] The Chateaudun newel 'est monte en assises hautes'. NOTE: A dating/quality signal for XV c. newels.	Escalier
en delit	set on edge, against the natural bed of the stone / set on edge / against the natural bed, cross-bedded	stair-member	[Escalier] 'on composa les noyaux de grandes pierres en delit comme on le fait pour les poteaux des vis en charpente'; the Reims chandelles are 'des morceaux de pierres en delit'. NOTE: 3 occurrences. Explicit analogy: a stone newel in delit imitates a timber post. || [Construction -- Voutes] A stone laid so its natural bed is vertical. NOTE: Used for monolithic shafts to get rigidity: 'comme des chandelles de charpente' (like timber props). Viollet treats it as a deliberate stiffening device.	Escalier; Construction -- Voutes
goujon	dowel, joggle	stair-member	[Escalier] 'relies entre eux au moyen de forts goujons de pierre dure' — the Tremoille newel's three superposed stones. NOTE: Hardstone dowels, not iron.	Escalier
bandeau	band, fillet — here the helical fillet on a newel receiving the step ends	house-facade	[Escalier] 'Ces noyaux porterent des mains-courantes prises dans la masse et des saillies en forme de bandeau spirale, pour recevoir les petits bouts des marches'; fig.20 label B. NOTE: Two helices at one pitch on the same newel: handrail above, bandeau below.	Escalier
incrustement	housing, the sinking into which a step end is set	stair-member	[Escalier] fig.20: 'le bandeau recevant les marches dont l'incrustement est indique dans notre dessin'. NOTE: Also 'encastrements' for the Tremoille newel.	Escalier
trompe	squinch, corner arch spanning across an angle	stair-member	[Escalier] The device that turns a square cage into an octagon or circle: 'Dans les angles du carre des trompes arrivent a une corniche spirale et soutiennent les marches d'angles'. NOTE: 5 occurrences. At Chateaudun they are appareillees as slightly inclined plates-bandes because the stair is large.	Escalier
trompillon	small squinch cut from a single stone	stair-member	[Escalier] 'les trois angles droits restant a l'interieur etaient, sous les marches, garnis de trompillons pris dans une seule pierre sculptee'. NOTE: 2 occurrences; fig.19. The small-stair version of a trompe.	Escalier
cul-de-lampe / culs-de-lampe	pendant corbel	stair-member	[Escalier] At Chateaudun, 'des culs-de-lampe poses aux angles de l'octogone portent la corniche spirale'. Also used for the little corbels carrying torches. NOTE: 3 occurrences.	Escalier
corniche spirale	spiral (helical) cornice	stair-member	[Escalier] The ring at the top of the trompes: 'la corniche spirale, dont la projection horizontale etant un cercle parfait soutient les bouts des marches'. NOTE: The load-transfer ring of the square-cage type. Its horizontal projection is a true circle.	Escalier
pan abattu	canted corner, splayed angle	stair-member	[Escalier] 'L'escalier de l'hotel de la Tremoille a Paris donnait en plan un carre avec un grand pan abattu'; also 'un pan abattu de facon a donner en projection horizontale un octogone a quatre grands cotes et a quatre plus petits'. NOTE: 2 occurrences. Gives the irregular octagon: four long sides, four short.	Escalier
hors-d'oeuvre	outside the main block, projecting clear of the ranges	town-rural	[Escalier] 'maitre Raimond le jeta entierement hors-d'oeuvre en dedans la cour'; 'en placant ainsi les grands escaliers hors-oeuvre, ils ne derangeaient pas les distributions interieures'. NOTE: The single most important planning term in the article.	Escalier
mur de refend	spine wall, internal dividing wall / internal cross wall / spine wall	house-facade	[Escalier] The wall separating the two flights of the Roman stair: 'deux rampes separees par un mur de refend'. NOTE: One occurrence, fig.1. || [Maison] Carries the joists and, in 12th-c houses, the corbelled front timber frame. NOTE: Viollet read the surviving refend wall-heads to prove the lost timber upper storeys.	Escalier; Maison
montant	upright, stile — the post carrying one step of a joinery vis	stair-member	[Escalier] 'Chaque marche possedait son montant dans lequel elle venait s'assembler. Ces montants, d'un seul morceau pour chaque etage, etaient assembles au pied dans un plateau en charpente, et au sommet dans un cercle.' NOTE: One per step, so the timber cage is a prism with as many faces as steps.	Escalier
poutrelle de buttee	thrust beam under a landing	stair-member	[Escalier] Tenoned onto the renfort, part-carrying the marche paliere. NOTE: fig.27/28 labels C, C-prime.	Escalier
potence	long bracket, gallows-brace / bracket, raking strut	carpentry-member	[Escalier] The long brackets relieving the first steps off the rotating newel: 'elle est puissamment soulagee ainsi que les trois suivantes par des potences I'. NOTE: 2 occurrences; replaced higher up by shorter liens 'afin de faciliter le degagement'. || [Maison] The Reims facade is corbelled 'sur cinq fortes potences'.	Escalier; Maison
tenon et mortaise	tenon and mortise	stair-member	[Escalier] 'assemblees dans le limon a tenons et mortaises' — the universal step-to-string joint in medieval timber stairs. NOTE: Steps are never simply housed and nailed.	Escalier
bille (de bois)	log, billet	stair-member	[Escalier] 'Ces marches etant pleines sont prises, habituellement, dans des billes de bois' — an oak log 0,50 m in diameter. NOTE: The raw stock unit for wooden steps.	Escalier
dosse	slab, outer waste board from a log	stair-member	[Escalier] 'il reste en M de belles dosses que l'on peut utiliser ailleurs'. NOTE: The by-product of the six-triangle conversion.	Escalier
plateau / cercle	base plate / head ring (of a joinery vis cage)	stair-member	[Escalier] The montants are framed at the foot into a plateau and at the head into a cercle, both in carpentry. NOTE: The two rings that make the timber cage rigid.	Escalier
brandi / brandir	secured in the mortise with obliquely driven pegs (provisional)	stair-member	TRANSLATION UNRESOLVED, and the flag must stay. 'Le boulon d'axe excepte, ces escaliers etaient brandis et maintenus assembles sans le secours de ferrures.' In French carpentry brandir a tenon means to secure it in its mortise with pegs or nails driven OBLIQUELY - a specific operation with a modelling consequence (angled peg holes through the tenon), not a vague 'racked together'. Viollet gives no BRANDIR article and the word does not occur in Charpente, Maison, Serrurerie or Voutes, so it cannot be settled from him. Do NOT let 'without ironwork' harden into 'without pegs': chevilles are not ferrures. || SOURCE ENTRIES: [Escalier] 'le boulon d'axe excepte, ces escaliers etaient brandis et maintenus assembles sans le secours de ferrures'. NOTE: Uncertain-translation flag: brandi here means the frame was drawn up and held by its own joints.	Escalier
degre circonvolutant	the circumvolving stair — the outer of two concentric vis	stair-member	[Escalier] 'La vis interieure devenait escalier de service, et le degre circonvolutant, escalier d'honneur.' NOTE: One occurrence. Names a status distinction a game can use: inner = service, outer = honour.	Escalier
double revolution	double helix (two interleaved flights in one cage)	stair-member	[Escalier] 'ces grandes vis de palais etaient a double revolution, de sorte que l'on pouvait descendre par l'une et remonter par l'autre sans se rencontrer et meme sans se voir'. NOTE: One occurrence in that exact form; the Bernardins and fig.29 are the examples.	Escalier
vis de Saint-Gille	Saint-Gilles screw	stair-member	[Escalier] Named in Sauval's description of Saint-Mederic (Saint-Merri), Paris: 'Il existait deux vis de Saint-Gille dans les deux tourelles'. NOTE: Viollet does NOT define the term in this article. Do not gloss it further from this source; conventionally it denotes a vis with a helical vault over it, after the example at Saint-Gilles-du-Gard, but that is not stated here.	Escalier
chandelle (de charpente)	stone prop / shore / prop, strut	stair-member	[Escalier] The slender stones relieving the outer step ends at Reims: 'Des chandelles de pierre B viennent soulager les portees A'; 'les pierres B ne sont qu'une suite d'etancons formant cloture a jour'. NOTE: One occurrence each. Structurally a screen, not a load path. || [Construction -- Voutes] A vertical timber strut, used by Viollet as the analogy for an en-delit shaft.	Escalier; Construction -- Voutes
liais	liais — a hard fine Paris limestone	stair-member	[Escalier] 'les carrieres de liais de Paris n'avaient pu fournir a la fois un nombre de morceaux de la dimension voulue'. NOTE: The stone whose block size limited step length at the Louvre.	Escalier
plate-bande / plate-bande rampante	flat lintel-arch, a straight arch of jointed stones / flat lintel course / raking flat course	house-facade	[Escalier] The Chateaudun trompes are 'des plates-bandes legerement inclinees vers l'angle'. NOTE: Spelled as plates-bandes in the plural in the text. || [Maison] The Vitteaux turret is carried on a well-coursed plate-bande rampante instead of on the tread ends.	Escalier; Maison
lanterne	lantern crowning a great vis	stair-member	QUOTATION REPAIRED. The reader's quote silently dropped a clause: the text reads 'les vis de Gaillon, de Blois, de Chambord et des Tuileries etaient terminees par des lanternes qui, COMME CELLE DU GRAND ESCALIER DU LOUVRE, couronnaient le faite et donnaient entree sur une terrasse' - and the removed clause is itself a datum (the Louvre stair had one too). At the Tuileries the lantern crowned a dome flanked by four lanternons in the form of echauguettes. || SOURCE ENTRIES: [Escalier] 'les vis de Gaillon, de Blois, de Chambord et des Tuileries etaient terminees par des lanternes qui couronnaient le faite et donnaient entree sur une terrasse'. NOTE: 2 occurrences. At the Tuileries the lantern crowned a dome flanked by four lanternons in the form of echauguettes.	Escalier
echiffre	(NOT PRESENT)	stair-member	[Escalier] The word does not occur anywhere in the article. Zero occurrences on a full-text search. NOTE: Report as a gap: if the factory needs echiffre (the raking wall/string of a stone stair) it must come from another source.	Escalier
contremarche	riser (NOT PRESENT)	stair-member	[Escalier] The word does not occur. Consistent with the fabric: medieval steps are solid blocks or solid timber, so there is no separate riser board. NOTE: Zero occurrences. Do not model a contremarche as a separate part in medieval work.	Escalier
quartier tournant	winding quarter (NOT PRESENT)	stair-member	[Escalier] The phrase does not occur in the article. NOTE: Zero occurrences; a later French stair term.	Escalier
maison (meson, hostel)	house	house-plan	[Maison] Viollet's opening gloss on the word; the medieval forms given are meson and hostel. NOTE: He insists on distinguishing maisons des villes from maisons des champs, and both from the manoir.	Maison
borde, bordel, abitacle	small house, hovel, dwelling-cell	town-rural	[Maison] The medieval words for a little house, given in the article's opening line. NOTE: 'bordier' later appears as one of the classes of country tenant.	Maison
masure (mansura, masura, masagium, mesagium, masnagium)	rural homestead / holding	house-plan	[Maison] In the North, Normandy and Picardy the masure is 'un clos avec maison habituellement construite en bois' - an enclosure with a house, usually of timber. NOTE: So the French word denotes the plot-plus-house unit, not a ruin. Directly useful as the rural generator's unit of allotment.	Maison
hotel	town house of a lord or a rich private person	house-plan	[Maison] 'les maisons de ville qui appartenaient a des seigneurs ou a de riches particuliers... mais qui n'affectaient pas les dispositions de defense des palais seigneuriaux, qui n'etaient point munies de tours et de murailles crenelees.' NOTE: Defined negatively against the palais: large, with courts and sometimes gardens, but not fortified.	Maison
manoir	manor house of a gentleman without rights of justice	house-plan	[Maison] 'l'habitation d'un gentilhomme, d'un chevalier, qui ne possede pas les droits seigneuriaux de haute et basse justice, mais qui est proprietaire terrien'. NOTE: Explicitly excluded from this article; cross-referenced to the article Manoir.	Maison
salle	the hall / principal common room	house-plan	[Maison] The room where one receives and eats; in the bourgeois house it recurs at every storey and often doubles as the master bedroom. NOTE: 'Toujours la salle a chaque etage avec escalier interieur.' It disappears in favour of chambres only in the 17th c.	Maison
arriere-salle	back room	house-plan	[Maison] The room behind the salle, serving as kitchen, or on ordinary days as dining room.	Maison
boutique	shop	house-plan	[Maison] The ground-floor room of a merchant's house, which displaces the salle to the first floor.	Maison
magasin	store / warehouse-shop	house-plan	[Maison] Used for the larger ground-floor commercial rooms of Saint-Antonin and of the Cordes hotel, some let to others.	Maison
galetas	garret, loft under the roof	house-plan	[Maison] Where the apprentices or servants slept and where provisions were kept. NOTE: At Saint-Antonin: 'sous le comble, est le galetas ou habitaient les gens, ou l'on mettait les provisions.'	Maison
rez-de-chaussee	ground floor	house-plan	[Maison]	Maison
entre-sol	mezzanine / entresol	house-plan	[Maison] At Laval the fall of the street lets the builder insert one for the left-hand household only. NOTE: Slope-driven, not stylistic.	Maison
allee	through-passage beside the shop	stair-member	[Maison] 'une allee contenant un degre droit flanque la boutique et donne entree directement de la rue dans la salle du premier etage.' NOTE: The functional French answer to the English screens passage: circulation, not ceremony.	Maison
degagement	service passage / circulation space	house-plan	[Maison] Used both of the small lobby B in fig 3 and of the concealed service links of the hotels.	Maison
degre droit	straight flight of stairs	stair-member	[Maison]	Maison
cage d'escalier	stair cage / stair shaft	house-plan	[Maison] At Montreal the cage is common to both dwellings while the flights are separate.	Maison
huis	door(way)	house-plan	[Maison] 'une petite ouverture pour reconnaitre les personnes qui frappent a l'huis' - a peephole beside the door.	Maison
cave / caves	cellar(s)	house-plan	[Maison] Generally spacious, well built, well vaulted, with central columns and arcs-doubleaux; sometimes two levels in wine country. NOTE: In Burgundy the cellar descent opens directly onto the public way.	Maison
arc-doubleau	transverse arch	vault-member	[Maison] Named as the vaulting member of the good cellars.	Maison
mur mitoyen	party wall	house-facade	[Maison] 'les maisons du XIIe siecle de la ville de Cluny sont mitoyennes, c'est-a-dire separees par des murs communs a deux proprietes'. NOTE: Usual in most French towns, but NOT at Montpazier, where each property has its own lateral walls.	Maison
mitoyennete	the party-wall condition	carpentry-member	[Maison] At Reims 26bis it is established on one side by a stone wall carrying the chimneys and on the other only by a simple pan de bois.	Maison
ruelle	narrow alley between houses	town-rural	[Maison] Sometimes only the width of a gutter (caniveau).	Maison
endronne	(Gascon) narrow alley between houses	town-rural	[Maison] 'Ces ruelles, qu'en langage gascon on appelle endronnes'. NOTE: Regional term - good flavour for a southern town.	Maison
pignon	gable	house-facade	[Maison] In the 14th-15th c the gable normally faces the street because plots are deeper than wide.	Maison
egout (a deux egouts)	eaves / roof drainage slope	roofing	[Maison] A roof 'a deux egouts' drains both ways; the twin house at Montreal has one roof with two egouts over two lateral alleys and a common gable.	Maison
comble	roof, roof structure, roof space	carpentry-member	[Maison] 'l'etage de comble' is the storey within the roof.	Maison
ferme de tete	end truss (gable truss)	carpentry-member	[Maison] At Laval it sits on the ends of the sablieres and shelters the jettied timber front.	Maison
ferme boiteuse	lame / one-sided half truss	carpentry-member	[Maison] At Vitteaux the architect set one forward of the wall to shelter the whole facade, using the stair projection and one corbel as its bearings. NOTE: Literally 'limping truss'. A very cheap way to roof over a projection.	Maison
filiere (filiere d'axe)	purlin (ridge purlin)	lock-ironwork	[Maison] At Chateaudun the projecting truss bears partly on the about of the ridge purlin, itself eased by a lien. || [Serrurerie] One of the three things Viollet says the Middle Ages did not have: 'on ne possedait ni cylindres, ni laminoirs, ni filieres'.	Maison; Serrurerie
about	the end / butt of a timber or of a course	carpentry-member	[Maison] 'la cage est posee sur l'about des marches formant encorbellement' - the stair cage rides on the projecting ends of the treads. NOTE: Key word for the Burgundian corbelled turret.	Maison
poteau cornier	corner post	carpentry-member	[Maison] At Annonay two of them hold the ends of the three sablieres; at Reims and Laval they only steady the frame, the party walls carrying the load.	Maison
jambe-etriere	masonry pier at the end of a timber frame	carpentry-member	[Maison] Gargoyles are set plumb with the jambes-etrieres; at Reims the stone jambe-etriere receives two liens. NOTE: Literally 'stirrup leg'.	Maison
pan de bois	timber-framed wall panel / timber-framed wall	carpentry-member	[Maison] Cross-referenced to the article Pan de bois. Can be a facade, a party wall, or an internal spine (pan de bois de refend). NOTE: Distinguished throughout from empilage.	Maison
pan de bois de refend	timber spine partition	carpentry-member	[Maison] At Laval one set on the axis of the facade divides the building into two dwellings from top to bottom.	Maison
hourder / hourdis	to nog / nogging infill	house-plan	[Maison] Panels are 'hourdes en mortier entre les bois', or in rubble and mortar, or in earth mixed with straw; the render then carries designs scratched with a point.	Maison
tournisse	short intermediate stud	carpentry-member	[Maison] 'les pans de bois... sont hourdes en maconnerie entre les poteaux, decharges et tournisses.'	Maison
decharge	raking relieving strut	carpentry-member	[Maison] 'le poids des pans de bois est reporte sur les poteaux corniers par des decharges a chaque etage.' NOTE: Explicit structural function given.	Maison
poteau d'huisserie	door or window jamb post	carpentry-member	[Maison]	Maison
plancher en bascule	cantilevered floor	carpentry-member	[Maison] Carries the second jettied storey at Annonay.	Maison
empilage	log-stacking construction	tool-process	[Maison] Squared trunks piled on one another and notched (embreves) at the returns; still practised in Switzerland and among Slav peoples in Viollet's day. NOTE: Stated technical reason for its distribution: straight resinous fir (Vosges, Jura, Alps) is easy to stack, whereas oak needs long and painful squaring.	Maison
embrever	to notch / joint (logs at the angles)	tool-process	[Maison] 'des troncs d'arbres equarris en les embrevant aux retours d'equerre'.	Maison
poutre maitresse	main beam / summer beam	house-plan	[Maison] At Chateaudun it bears on a corbel of the middle pier of the facade, on the central post and on the head of the refend stub, and at the first floor passes through the front wall to receive the roof tie-beams.	Maison
bardeaux	shingles	house-plan	[Maison] Roofing at Vitteaux (the stair turret), and the thick shingle covering of Norman houses through which the timber smoke flue passes.	Maison
laves	thin stone roofing slabs	roofing	[Maison] 'une lourde charpente couverte en plaquettes de pierres appelees laves dans le pays' - the Morvan word.	Maison
gargouille	gargoyle, water spout	roofing	[Maison] Set plumb with the jambes-etrieres; can be of wood, as at Vitteaux.	Maison
corbeau	corbel	house-facade	[Maison] Carries the stone cheneaux, and the timber chemin de ronde of the Cluny street wall.	Maison
encorbellement / en decharge	corbelling; jetty / corbelling / relieving, discharging	house-facade	[Maison] Used for stair turrets, chimney flues, whole timber facades, and the angles of houses over a pan coupe. NOTE: The article's single most productive word. || [Construction -- Voutes] Stepping masonry out over the course below; an arrangement that carries load off to one side. NOTE: Corbelled capitals track the thrust line down the pier.	Maison; Construction -- Voutes
breteche	projecting timber oriel / brattice-like jettied front	house-facade	[Maison] 'Ces facades devenaient ainsi de veritables breteches, larges'; the Reims front is a bretche 'puisqu'il prend un jour lateral' - because it takes a side light. NOTE: So the test for a bretche is a return window, not just projection.	Maison
arc de decharge	relieving arch	carpentry-member	[Maison] At Provins the window voids are 'bien soulages par ces arcs de decharge en pierre'; at Chateaudun two are sprung in the thickness of the front wall to allow very open stone window frames. NOTE: Always given a structural reason.	Maison
chassis en pierre	stone window frame / pierced stone panel	material	[Maison] 'sous ces arcs il a pose de veritables chassis en pierre tres-ajoures'.	Maison
trumeau	pier between two windows	house-facade	[Maison] At Reims five niches with musicians occupy the trumeaux; Viollet mocks modern practice for narrow trumeaux to big rooms and wide ones to closets.	Maison
arcature	continuous arcaded range of windows	house-facade	[Maison] At Saint-Antonin the arcatures continues form four windows inside, divided by narrow trumeaux.	Maison
banne	fabric awning	house-facade	[Maison] Hung from poles carried in iron ring-hooks sealed in the window jambs; the usage persisted in the Midi, Italy and Spain.	Maison
perche / perche-etai	pole / prop pole	house-facade	[Maison] The poles are jointed one into another by bay; prop poles lift the outer edge of the awning.	Maison
anneau-crochet	ring-and-hook	house-facade	[Maison] Sealed into the masonry at the springing level of the window jambs to carry the awning poles and cords.	Maison
lucarne	dormer	roofing	[Maison] At Beauvais a big gabled lucarne to the street and a second onto a small court light the roof storey; at Reims the Maison des Musiciens had mansardes now lost.	Maison
machicoulis	machicolation	roofing	[Maison] Imitated as a cornice at the base of the Rouen gable; real (six hopper-shaped ones) in the Cannet tower.	Maison
epi	roof finial	roofing	[Maison] Named among the crowning features of the Jacques Coeur roofs.	Maison
crete	cresting	roofing	[Maison] Carved timber crest joining the two ridge poincons in the Norman tradition; also the modern zinc openwork crests he despises.	Maison
atre	hearth	house-plan	[Maison] At Trier the atre is set against the street wall and the flue corbelled out over the facade.	Maison
contre-coeur	fireback	house-plan	[Maison] Named in the Vosges chimney: 'pieds-droits, contre-coeur, manteau et tuyau en maconnerie'.	Maison
manteau	chimney hood / mantel	house-plan	[Maison] At Bourges the manteau of the 6 m chimney was carved with a fortified town flanked by Adam and Eve and the tree of knowledge.	Maison
tuyau	flue	house-plan	[Maison] At Trier the flue is corbelled under the facade from the first floor up - in France a 12th- or early-13th-c disposition.	Maison
pied-droit	jamb / jamb, straight abutment	house-plan	[Maison] Of windows (where the awning rings are sealed) and of chimneys. || [Construction -- Voutes] The vertical support from which an arch springs.	Maison; Construction -- Voutes
fourneau potager	cooking range / stew-stove	house-plan	[Maison] In the small kitchen K' at Bourges, with an oven and chimney.	Maison
office	pantry / serving room	house-plan	[Maison] At Bourges dishes were passed from the office into the hall by a tour.	Maison
tour (a tour m)	serving turntable / hatch	house-plan	[Maison]	Maison
laverie	scullery	house-plan	[Maison] Vaulted and paved, with a gargoyle discharging to a puits perdu, under the oven at Bourges.	Maison
puits perdu	soakaway	house-plan	[Maison]	Maison
conciergerie	porter's lodge	house-plan	[Maison] Present in all three great hotels, always beside the street gate.	Maison
porterie	gatehouse	house-plan	[Maison] What a lord may put on the street instead of habitable rooms.	Maison
porte cochere	carriage gate	house-plan	[Maison] Always paired with a poterne beside it in the hotels.	Maison
poterne	postern, pedestrian side door	house-plan	[Maison]	Maison
montoir	mounting block	house-plan	[Maison] Beside door I at the hotel de La Tremoille.	Maison
estrade	dais	house-plan	[Maison] The great first-floor hall of Jacques Coeur 'possedait une estrade comme les grandes salles des chateaux'. NOTE: The clearest single point of contact with the English hall.	Maison
appentis	lean-to	house-plan	[Maison] Timber lean-tos of one storey ring the small courts at Montreal; open lean-tos shade the Languedoc farmhouse.	Maison
preau	yard, courtyard, covered yard	house-plan	[Maison] 'K est une salle ouverte, sorte de preau couvert sous la chapelle' at the hotel de Cluny.	Maison
portique / couvert	arcade, covered walk	house-plan	[Maison] Around the bastide square, 'tres-larges, bas'; suppressed in the 15th c because the posts were an encumbrance.	Maison
pan coupe	chamfered / canted corner	house-facade	[Maison] At the angles of the bastide square, letting carts enter diagonally; the storeys above are corbelled over them.	Maison
ilot	urban block	town-rural	[Maison] 'Un ilot des maisons de la ville de Montpazier fait voir avec quelle uniformite cellulaire ces habitations sont construites.'	Maison
bastide	planted new town of the 13th c	town-rural	[Maison] Built at one go on granted land following the indication of the ingenieurs, with wide franchises; regular plans drawn to the line, with squares, markets, churches, fountains and ramparts, and equal lotting. NOTE: Viollet lists roughly 30 by name, dated 1260-1330.	Maison
ingenieur	the layout engineer of a bastide	town-rural	[Maison] 'suivant l'indication des ingenieurs' - the term Viollet uses for the men who set out the plans.	Maison
