family_id,lane,status,broad_component,reuse_class,n_member_subrows,construction_invariant,geometry_generator,host_interface,joint_schedule,assembly_role,surface_realization,permitted_variation,incompatible_excluded,member_row_uids,proven_construction_rows,typed_uncertainty,donor_status,note
arm.round_reeded_rod,component_recipe,RANKABLE,rail,parameterized_recipe,1,A reeded CYLINDRICAL rod running fore-aft with a carved terminal. A solid of revolution with a swept reed - not a sawn board.,revolve + reed sweep; carved terminal master at the front,arm post below at the front; rear post behind,dies into a carved bracket at the rear post,arm,"reeded, gilt; ram's-head/lion-head/volute terminal as a swappable master",length; reed count; terminal master choice,flat swept arm boards - a board and a rod share only the centre path,R069,R069,,AUDIT_REQUIRED,Per the audit: split from flat swept-board arms unless only the centre-path vocabulary is shared. Here only the centre path is shared.
arm.flat_swept_board,component_recipe,RANKABLE,rail,shared_profile,1,"One sawn, COMPOUND-CURVED board doing the whole arm, terminating in a cyma scroll. Mirror-symmetric pair from one profile.",sawn board along a compound curve; cyma scroll at the terminal,arm posts below; back frame behind,lapped or tenoned onto the arm posts,arm,show wood,scroll tightness; flare angle; board thickness; arm height above seat,round reeded rods,R098,R098,,AUDIT_REQUIRED,
arm.arcaded_assembly,assembly_grammar,RANKABLE,rail,assembly_grammar,1,"An arm rail whose length drives ARCH COUNT in lockstep with spindle count - the arcade is a composition rule, not a single member.",rail + repeated arch/spindle cells,seat rail below via posts,spindles tenon between seat rail and arm rail,arm arcade,gilt; top face padded or bare,length -> arch count (5 arches over 4 spindles + 1 post here); arch springing height; whether the top face is padded,single-member arms,R006,R006,,AUDIT_REQUIRED,'the single most transplantable assembly on the object.'
flyrail.moving_assembly,assembly_grammar,RANKABLE,rail,assembly_grammar,2,"A MOVING assembly: swing rail + pivot + swing leg + a stop that is not resolvable. It is one mechanism and must be authored as one, with the stop left open.","rail + pivot joint + leg, with a motion range",rear rail of the carcase,PIVOT (knuckle or pin) at the inboard end; the leg is a standard leg blank with an extended UNFINISHED upper post because it is concealed when closed,supports a drop leaf when open; nests against the rear rail when closed,show wood on the leg; raw saw-marked concealed extension,swing length; pivot offset from the rail end; leg blank parameters; concealed-extension length,static rails and static legs,R147;R145,R145;R147,,AUDIT_REQUIRED,"v3 marked R147 BOTH proven and unresolved - the fail-closed check in v3.1 caught it. The rail and its pivot ARE visible (alt7 shows it extended at 90 degrees carrying the swing leg); what is unresolved is the STOP, which has no BOM row of its own and is therefore recorded here as a family-level open question rather than as a penalty on a row that is actually well evidenced. Per the audit, authored as rail + pivot + support + UNRESOLVED STOP. No view resolves what limits the swing at 90 degrees. The 'concealed extension' parameter generalises to any moving member."
rail.gate_swinging,component_recipe,RANKABLE,rail,parameterized_recipe,1,A flat board rail that SWINGS with a gate and carries pins along its face.,flat board with shaped pivot end and a pin array,gate post pivot,pivot at one end; pins along the face,upper member of a swinging gate,plain,length (sets how far under the leaf the gate reaches); thickness; pivot-end shaping; pin count,fixed frame rails,R416,R416,,AUDIT_REQUIRED,
brace.corner_glue_block,component_recipe,RANKABLE,brace,parameterized_recipe,2,A triangular or quarter block glued into an inside frame corner. ONLY rows where a block was actually seen are members.,"prism, two mating faces cut to the frame angle",two inside rail faces at a corner,"glued; one instance mates to a CURVED end apron, so the recipe needs a 'seat against a swept surface' parameter",stiffens a frame corner,none - never seen in the finished object,block section; leg length; chamfer; flat-vs-swept mating face,"every INFERRED block (47, 53, 139, 241) - they carry zero weight and may not establish this family's joint; the case-base locator, which does a different job",R102;R149,R102;R149,,AUDIT_REQUIRED,"Per the audit, exactly the two EVIDENCED rows. v2 carried 7 members of which 4 were inferred; this was the single worst evidence dilution in v2."
locator.case_base_block,component_recipe,RANKABLE,brace,parameterized_recipe,1,"A block at the base corners that LOCATES a case sitting loose on top. It positions, it does not stiffen.",prism at an angle,base top surface; the loose case above,glued to the base; the case above simply sits within them,locates a removable upper case,none,block length and angle,"corner glue blocks, which reinforce a joint rather than locate a separate case",R293,R293,,AUDIT_REQUIRED,Moved out of the glue-block family per the audit: 'these sit at the base corners and appear to locate the case that sits loose on top.'
stay.metal_quadrant_visible,component_recipe,RANKABLE,brace,parameterized_recipe,1,"A brass quadrant stay / lopper arm limiting a fall front. Visible, metal, and its upper end slides in a slot.","swept arc strap, constant section",carcass stile (slot) and fall front (fixed end),"slides in a slot in the carcass stile, or is pinned",limits and supports a falling front,brass,arc radius and chord length (set by fall depth); strap width; sliding vs pinned upper end,unseen axial tie rods - opposite evidence status and opposite construction,R168,R168,,AUDIT_REQUIRED,Per the audit: visible quadrant metal stays split from unseen axial tie rods.
bracket.shaped_sawn_console,component_recipe,RANKABLE,brace,shared_profile,3,"A shaped sawn bracket/console whose 2D profile is swept to a constant thickness. One curve asset, several length settings.",2D cyma/ogee profile swept to constant thickness,post and the member it braces,"let in, screwed, or pegged; 1954.151 adds a let-in iron keeper plate",ties a crest or canopy down to a post; gusset between arm rail and stile,gilt or matched to the frame; may be pierced,arc radius; span; rise; thickness; hole count and position; piercing radius,"glue blocks (unseen, structural-only)",R341;R305;R010,R010;R305;R341,,AUDIT_REQUIRED,"'The same curve appears again at the headboard ends, so it is ONE curve asset with two length settings.'"
cleat.lid_batten,component_recipe,RANKABLE,brace,parameterized_recipe,2,An end cleat battened across a lid underside to resist cupping. Fixing type doubles as an age/repair storytelling axis.,tapered batten with chamfered ends,lid underside,"pegged, nailed or screwed - the choice is the period/repair signal",stiffens a lid,may be moulded to match the lid edge; or pale unpatinated modern wood,cleat width; taper of the chamfered ends; fixing pattern,structural frame braces,R370;R387,R370;R387,,AUDIT_REQUIRED,1971.281's cleats are explicitly a LATER REPAIR in pale unpatinated wood with modern slotted screws - a ready-made 'this has been repaired' variant.
plate.pegged_repair,component_recipe,RANKABLE,brace,parameterized_recipe,1,"A flat plate laid over a failed joint and pegged at its corners - a shop-level repair, not original construction.",flat rectangular plate with a peg array,outside face of a rail over a leg tenon,four round pegs at the corners,reinforces a failed tenon,"bare wood, contrasting with the finished frame",plate outline; peg count and pattern,original structural members,R103,R103,,AUDIT_REQUIRED,'Extremely valuable as a this-frame-has-been-repaired decal for aged furniture variants.'
brace.seat_internal_grid,assembly_grammar,RANKABLE,brace,assembly_grammar,1,An internal grid inside a seat rectangle: one longitudinal member crossed by front-to-back sticks. Spacing is a function of seat length.,"longitudinal member + crossing sticks, some straight and some sawn to a shallow arc",inside faces of the seat rails,lapped over or tenoned into the rails,supports the seat platform over a long span,never seen,brace spacing/count as a function of seat length; straight vs arced stick; lapped vs tenoned,corner blocks,R101,R101,,AUDIT_REQUIRED,
frame.stile_rail_muntin_grid,assembly_grammar,RANKABLE,panel frame,assembly_grammar,6,"Structural joinery: stiles + rails + muntins, grooved to CAPTURE a floating panel. The grammar is the asset, not any one frame.",grid of grooved members,carcase or door opening,"mortise-and-tenon, often PEGGED; panels float in grooves, never glued","structural side, back or door of a case",moulded lip on the inner edge; may receive applied ornament,bay count; bay aspect ratio; stile/rail widths; groove depth; muntin count,"applied moulded surrounds, which are trim on a board and hold nothing; the unresolved 69.140ab case sides",R197;R362;R380;R164;R272;R130,R197;R272;R362,R130=construction;R164=construction;R380=construction,AUDIT_REQUIRED,"'the grammar (stiles + rails + muntins + captured panels) is the reusable object, not the specific frame.'"
frame.applied_moulded_surround,component_recipe,RANKABLE,panel frame,parameterized_recipe,3,Applied trim MITRED around an aperture on a board. It captures nothing and carries no load - the opposite construction to a joined frame.,moulded profile mitred into a closed loop,the face of a board or carcase front,MITRE at the corners; glued to the ground,dresses an aperture,concentric stepped/reeded margins; ovolo/cove stacks,aperture size; number of concentric steps; reed pitch; step count in the profile stack,structural stile-rail-muntin grids,R218;R316;R071,R071;R218;R316,,AUDIT_REQUIRED,"Kept separate from the joined grid per the audit, membership corrected. The mitre is the discriminator: joined frames tenon, applied surrounds mitre."
enclosure.rail_and_bracket,assembly_grammar,RANKABLE,panel frame,assembly_grammar,1,A four-sided enclosure made of rail / rail / bracket / bracket around a pierced field - NOT a stile-and-rail frame and not applied trim.,two horizontal rails closed at each end by a shaped bracket,arm assembly of a chair,rails tenon to the brackets; the pierced field is captured between,encloses a pierced lattice field under an arm,gilt; winged monopodium brackets,field length; field height; bracket master; lattice cell count,both frame families - it has no stiles and no mitred trim,R030,R030,,AUDIT_REQUIRED,Created per the audit as its own enclosure for FC-01-2012_216. The source calls it 'the single most transferable assembly rule on the object'.
panel.floating_wood_in_groove,component_recipe,RANKABLE,floating panel,parameterized_recipe,2,"A wooden board floating free in the surrounding frame's grooves - never glued, so it can move. The BLANK is separable from whatever is done to its face.","flat board blank, optionally bevel-raised (fielded)",grooves of the surrounding frame,floats in the groove; NO glue - that is the defining constraint,fills a frame opening,"plain, carved, marquetried, fielded or glazed - all are face programs on one blank",aspect ratio; thickness; bevel/fielding depth; rectangular vs shouldered field; face program,"upholstered fields, which are a padded volume with no groove interface",R363;R198,R198;R363,,AUDIT_REQUIRED,"REPAIRED TWICE. v3 admitted 11 members on asserted grooves; v3.1 kept four; the final audit cut two more. Only TWO rows prove the exact groove/captured-panel contract: R363 GROOVE STATED ('a plain, a carved, and a pierced variant all share one GROOVE-SET blank') and R198, whose companion R197 records the full grammar WITH groove depth ('stiles + rails + muntins + captured panels', 'groove depth'). R273 and R381 are quarantined as frame_layout_only: their companions (R272, R380) prove frame layout, panel count and peg pattern - never the concealed capture. Weighted evidence 10.0 -> 4.0 -> 2.0 across the three passes. Each drop is a correction."
panel.upholstered_field,component_recipe,RANKABLE,floating panel,parameterized_recipe,2,"A padded volume dropped into a frame rebate. Same SLOT as a wooden panel, entirely different construction - no groove, no wood movement, a crown instead of a thickness.",padded volume with a crowned surface,frame rebate; tacked to the frame or to webbing,"tacked, not captured - there is no groove",fills a frame opening with textile,"silk, gimp, fringe",field crown/loft; edge radius; cover material,wooden floating panels,R012;R041,R012;R041,,AUDIT_REQUIRED,Preserved from v2 - the audit confirms this distinction was correct. 'a clean demonstration that the frame and the field are separable slots.'
cornice.stacked_profile_run,component_recipe,RANKABLE,crest/cornice,shared_profile,6,"A cornice built as a STACK of swept profile members, mitred at the corners and returning on the visible sides.",stacked swept profiles along a rectangular path,top of a case or tester,mitred returns at the corners; dies into the posts,crowns a case,"fillet/cove/ogee stack, optionally with a dentil course",stack depth; fillet count; projection; whether it returns on the sides only or wraps; dentil pitch,"shaped sawn crest boards, which are a silhouette cut from a board, not a swept stack",R158;R190;R246;R282;R302;R231.a,R158;R190;R231.a;R246;R282;R302,,AUDIT_REQUIRED,Preserved from v2; the audit confirms stacked cornice vs shaped sawn crest is a real distinction.
crest.shaped_sawn_board,component_recipe,RANKABLE,crest/cornice,shared_profile,3,"A single board SAWN to a silhouette, carved on the front face only. The rear proves it: a plain sawn board with a screw and peg line.",2D silhouette curve cut from a board,top rail of the back or case,screwed and pegged to the top rail,crowns a chair back or case front,relief carving on the FRONT ONLY,pitch/span; lobe count (scales with seat count); lobe amplitude; end sweep; relief content,stacked cornice runs; laminated curved crests,R070;R100;R231.b,R070;R100;R231.b,,AUDIT_REQUIRED,'the rear views prove the back face is a plain sawn board with a screw and peg line where it fixes to the top rail.' The top-edge curve is the transferable asset.
crest.laminated_curved,component_recipe,RANKABLE,crest/cornice,parameterized_recipe,1,"An arched crest BUILT UP from laminated curved segments - lamination lines are visible. It cannot be cut from one board, which is the whole point.",laminated curved segments following an arc,post caps at each end,stepped down through an ogee shoulder to the post cap,arched cresting of a bed end,applied garland on the face,arch span; arch rise; shoulder step height; garland density,single-board sawn crests - the stock requirement is completely different,R340,R340,,AUDIT_REQUIRED,Split from the sawn-board family on construction: 'built up from laminated curved segments (lamination lines visible in alt9/alt10/alt11)'.
crest.rolled_carved,component_recipe,RANKABLE,crest/cornice,shared_profile,1,"A crest that ROLLS backward over the top of the back and terminates in a carved spiral at each corner - a swept roll, not a flat silhouette.","swept roll section along the back's top curve, with a carved volute terminal master",top of the back frame,continuous with the back frame stiles,crowns a chair back,"gilt, carved spirals",roll radius; spiral tightness at each end,flat sawn crest boards,R013,R013,,AUDIT_REQUIRED,
crest.bent_moulded_rail,component_recipe,RANKABLE,crest/cornice,shared_profile,1,"A moulded top rail bent to a flattened D-curve in plan, with ASYMMETRIC ornament: plain outside, decorated inside.",moulded section swept along a flattened D-curve,back frame stiles,continuous with the stiles,wraps and crowns a barrel-plan back,plain outside face; reeded and disc-inlaid inside face,corner radius; crown height; arc width; the outside/inside ornament asymmetry,sawn silhouette crests,R029,R029,,AUDIT_REQUIRED,The inside/outside asymmetry rule is itself reusable and is recorded as a variation axis rather than a separate family.
capital.metal_assembly,assembly_grammar,RANKABLE,crest/cornice,assembly_grammar,1,A metal capital that is itself a small assembly grammar - a bell plus swap-in ornament slots - explicitly 'not one blob'.,bell profile + corner volute masses + central mask slot + cresting slot,top of the shaft; abacus above,seated/threaded on the shaft,crowns a pedestal,"gilt brass, fluted/reeded bell, cabled torus",bell profile; which ornament fills each slot; volute mass scale,wooden carved capitals,R441,R441,,AUDIT_REQUIRED,
moulding.profile_toolkit,toolkit_capability,RANKABLE,moulding run,toolkit_capability,14,"NOT one moulding asset. A PROFILING TOOLKIT: a library of profile atoms, the stacks built from them, the paths they sweep along, and the rules for mitres, stopped ends and junctions. Objects state repeatedly that ONE section serves several roles at several scales, which is what makes this a capability rather than a part.",sweep of a 2D section along an arbitrary path; sections stack,"any edge, aperture or run on any object",mitre at corners; stopped ends; dies into posts; returns on visible faces,all linear detail,the section IS the surface event,"PROFILE ATOMS (observed: fillet, ovolo, cavetto, ogee, astragal/bead, thumbnail, chamfer, reed, flute, bolection); STACK depth and member count; PATH (straight, rectangular loop, serpentine, arc); MITRE vs STOPPED END; junction/return rule; scale","repeated-cell runs, where a discrete cell is instanced rather than a section swept - that is a different generator",R014;R081;R112;R155;R182;R195;R232;R250;R284;R344;R365;R384;R409;R036,R014;R036;R081;R112;R182;R195;R232;R250;R284;R344;R384;R409,R155=construction;R365=construction,AUDIT_REQUIRED,"Re-described as a toolkit per the audit. The corpus states the reuse explicitly: 'one profile serves drawer surrounds, side-panel frames and the plinth at different scales' (69.146.2); 'the same few sections repeat as door-panel bolection, pilaster cross-blocks, base cap, and base plinth' (2019.59); 'Sectioning the profiles once and sweeping them along arbitrary rectangles covers essentially all of this object's linear detail' (69.146.3)."
moulding.repeating_cell_run,component_recipe,RANKABLE,moulding run,parameterized_recipe,2,"A discrete carved or cast CELL instanced along a path at a pitch. The generator is instancing, not sweeping - a constant-section sweep cannot produce it.",instance a cell master along a path at a pitch,any edge or drum,carved integral or applied as a sleeve,enriched edge treatment,"bead-and-reel, rosette-chain, lappet registers",run length; cell pitch; cell master choice; instance count around a circumference,constant-profile sweeps,R319;R433,R319;R433,,AUDIT_REQUIRED,Preserved from v2 - the audit confirms constant-profile sweep vs repeated-cell run is a real distinction. 2002.298.1 gives the strongest exact-reuse evidence in the whole corpus: 'The upper and lower sleeves are the SAME part used twice.'
ring.revolved_collar,component_recipe,RANKABLE,moulding run,parameterized_recipe,1,"A plain revolved ring clamping the edge of a band or sleeve. One shape, one parameter.",revolve of a small section,drum rims and band edges,clamped/seated on the drum,closes a joint between stacked drums,gilt,diameter,swept runs along open paths,R434,R434,R434=quantity,AUDIT_REQUIRED,"'At least 8 are visible, but individual rings merge visually with the adjacent drum rims at every published resolution, so NO HONEST COUNT EXISTS.'"
collar.cut_in_solid_stone,component_recipe,RANKABLE,moulding run,parameterized_recipe,1,"A reeded collar cut IN THE STONE itself, with no metal ring at all. It proves the jewel bands are not all metal, so it is a construction fact as well as a part.",reeds cut into the stone drum,"the shaft itself - subtractive, not applied",none - it is the shaft,mid-shaft register,"polished alabaster, sunken jewelled register",reed count; register depth,applied gilt collars - opposite construction (subtractive vs applied),R435,R435,,AUDIT_REQUIRED,'Important construction fact: it proves the jewel bands are not all metal.'
ornament.placement_system,assembly_grammar,RANKABLE,repeated ornament master,assembly_grammar,3,"The PLACEMENT AND INSTANCING SYSTEM ONLY - path pitch, ring array, mirroring and graded scatter. It owns no geometry. Every actual relief master is its own part identity in the relief.* families generated below.",a placement rule applied to a master supplied from elsewhere,any show face,n/a - the hosted master carries its own interface,distributes masters over a surface or run,n/a - the master carries the surface,"path pitch; ring count; instance scale ramp along a run; mirroring; GRADED FALL (dense at the top, thinning downward, lower third empty on tall panels - 69.140ab)","all relief geometry - v3 merged 17 unrelated masters into this family purely because they all use transforms, which is not a shared construction",R078;R079;R383,R078;R079;R383,,AUDIT_REQUIRED,REBUILT in v3.1. v3's ornament.instanced_relief_master held 17 members and was the assembly-lane leader at score 22.59 on the strength of an argument that amounts to 'these all get placed somewhere'. The three members kept here are the rows that actually record a PLACEMENT RULE as the reusable thing (paterae counted per rail face; palmettes at a measured ~71px pitch; blocks swapped within one layout slot). Everything else moved to its own master.
ornament.applied_screwed_garland,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,A separately carved garland SCREWED to a plain sawn backing. The interface is proved by a photograph of the back - the clearest applied-ornament evidence in the corpus.,"carved swag master, hung along a path",a plain sawn backing board,SCREWED - seen from behind in alt6,applied surface enrichment,carved and gilt rose-and-leaf,"swag length; sag depth; flower density; hung as a drop, a spiral or a continuous run",ornament carved integral to its ground,R356,R356,,AUDIT_REQUIRED,"'alt6 shows one from behind: a separately carved element SCREWED to a plain sawn backing, which is exactly the applied-ornament workflow to copy.'"
ornament.carved_in_solid_face,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,Ornament cut INTO the parent member's own face. There is no separate part and no interface - modelling it as an applied master is the error.,subtractive carving on the parent face,the parent member itself,none - it is the parent,surface enrichment integral to a panel or block,linenfold folds; wreath rings,fold width; fold count per panel; terminal motif; bead pitch; density from austere 2-fold to crowded 5-fold,applied masters with a glue or screw interface,R364,R364,,AUDIT_REQUIRED,"v3 merged three incompatible things here. R303.a is an APPLIED carved wreath (glued on, not cut into the host) and R303.b is an INSET MARQUETRY CELL (a veneer cut, not geometry at all). Both are now their own families. Only R364's linenfold is actually carved into the host face."
ornament.marquetry_motif_set,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,4,"A small SET of flat masters (blossom, leaf, stem) re-scattered to fill any field. Retargeting is by re-scattering, never by new art.",flat 2D masters placed by a scatter rule with rotation and scale jitter,a veneered field,"let into the veneer - a surface program, not a solid",fills a panel or band with pattern,"contrasting veneers, engraved detail, dot accents","instance rotation, scale and packing density; GRADED FALL (dense at top, thinning downward); field aspect ratio","carved relief masters, which are solids",R184;R211;R269;R331,R184;R211;R269;R331,,AUDIT_REQUIRED,"NARROWED in v3.1 to genuine reusable BOTANICAL motif sets. Removed: R154 (pure closed line-figures, no botanical master at all - the row says so), R186 (a keyhole cartouche, a functional marker not a field filler), and R114 (mixed - split into a veneer-cut star and a host-carved boss, which cannot share a recipe). 69.140ab records a placement rule worth having: 'every field is a graded fall - dense at the top, thinning downward, with the lower third left empty on the tall door and side panels, while the short drawer and frieze bands run at even high density throughout.'"
bespoke.lion_grotesque_head,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,"A carved lion/grotesque head, hand-authored, instanced mirror-left and mirror-right.",hand-authored sculpture,arm terminal or knee,carved integral or applied,figural accent,carved and gilt,scale; mirror only,"every other figural master - they are unrelated sculptures, not one family",R016,R016,,AUDIT_REQUIRED,
bespoke.female_mask,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,A classicising female head with fillet headdress and pendant collar on a capital face.,hand-authored sculpture,capital face,cast integral with the capital,figural accent,gilt brass,scale only,the leonine corner mask on the SAME capital - a different sculpture,R442,R442,R442=view_coverage,AUDIT_REQUIRED,"'Every published view is the same frontal aspect, so only ONE mask has ever been seen; the square abacus implies four, one per face, but that is not observed.'"
bespoke.leonine_corner_mask,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,"A maned leonine/grotesque head at a capital corner, terminating in a scroll volute.",hand-authored sculpture,capital corner,cast integral with the capital,figural accent,gilt brass,scale only,the female mask on the same capital,R443,R443,R443=view_coverage,AUDIT_REQUIRED,'Two are visible on the one photographed face; four corners are implied but not seen.'
bespoke.winged_sun_disk,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,A winged sun disk with flanking uraei - drops unchanged onto any long horizontal ground.,hand-authored sculpture with a span parameter,a long horizontal ground,UNRESOLVED - carved integral to the rail or applied is not stated,figural frieze centrepiece,carved/painted,wingspan scales to rail length; feather-row count; disk diameter,the lotus rows and petal capitals on the same object,R054,,R054=construction,AUDIT_REQUIRED,"'the single highest-value donor element in the object' - but its interface is explicitly unresolved, so it cannot be admitted as a donor on that claim."
ornament.radial_petal_array,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,An overlapping lotus-petal bell capital. The petal profile is the generative unit and could be re-swept onto vase turnings and urn bases.,one petal master arrayed radially around the capital bell,column head,bell/host attachment UNRESOLVED - the petal geometry on the bell is visible; how the bell meets the column is not evidenced,capital,carved,petal count around the bell; petal length relative to bell height; tip sharpness,the winged sun disk and painted lotus rows,R056,,R056=construction,AUDIT_REQUIRED,"Reclassified from bespoke_hero in v3.1: ONE petal master arrayed radially around a bell is a recipe, not a hero carving - 'The same petal profile is the generative unit for the capital and could be re-swept onto vase turnings, urn bases, or column feet.' Final-audit corrections: the petals are NOT claimed carved integral to the column (attachment unresolved -> construction uncertainty), and the unseen total petal count ('petals wrap the bell; only the near faces are visible') is QUANTITY doubt only - recorded here rather than as a penalty."
bespoke.inlaid_urn,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,"A fluted, footed inlaid urn used as a composition anchor at panel centres.",hand-authored 2D marquetry master,a veneered panel centre,let into the veneer,composition anchor,marquetry,"scale only - it is a signature mark, not a kit part",the arcade master on the same object; the blossom motif sets,R187.a,R187.a,,AUDIT_REQUIRED,
bespoke.inlaid_arcade,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,"A low colonnaded arcade on a plinth, used in place of a keyhole on the bottom drawer.",hand-authored 2D marquetry master,a drawer front,let into the veneer,signature centrepiece,marquetry,scale only,the urn master on the same object,R187.b,R187.b,,AUDIT_REQUIRED,Split from the urn per the audit: 'Split unrelated figural carvings into individual bespoke masters.' The source itself calls them two one-off masters.
bespoke.anthemion_cartouche,bespoke_hero,RANKABLE,repeated ornament master,bespoke,1,A central carved palmette cartouche with fluted crown and four flanking S-scroll tendrils.,hand-authored sculpture,centre of an arm lattice,applied,figural centrepiece,carved and gilt,cartouche height; tendril count and curvature,the disc-in-bezel master it sits among,R038,,R038=construction,AUDIT_REQUIRED,"'Directly seen on one arm only; the second is asserted from the object's bilateral symmetry, not observed.'"
inlay.linear_stringing_path,component_recipe,RANKABLE,inlay path,parameterized_recipe,6,"A let-in line of contrasting wood following an OFFSET of the silhouette of the face it sits on. It is an offset-inset generator, not drawn art.","offset-inset of a face silhouette, swept at a constant line width",a veneered or solid show face,"LET IN - a groove cut and filled, so it is real geometry",outlines a field or panel,contrasting light wood,"line width; inset distance from the part edge; corner radius; path outline (plain rectangle vs cusped cartouche); PATH CURVATURE (bent around ogee braces on 69.146.1); pass count per face - rear faces get zero, show faces one to two","painted line-work, which cuts no geometry; engraved-and-filled stone lines",R153;R183;R210;R268;R113;R329,R113;R153;R183;R210;R268;R329,,AUDIT_REQUIRED,"1969.262 states the generator: 'Every figure here is a single-width light line offsetting the silhouette of the face it sits on - an offset-inset generator, not drawn art.'"
inlay.painted_line_path,component_recipe,RANKABLE,inlay path,shared_profile,2,"The SAME path vocabulary executed in paint or gilding. No groove, no let-in element - the geometry is untouched and only the shader differs.","the same path generator, resolved to a texture rather than geometry",a painted or gilt ground,NONE - it is a surface treatment,outlines a field,"painted line, zigzag, dot banding, gilt striping",line weight; colour pair; zigzag amplitude and wavelength; stripe width and gap,"let-in stringing, which is geometry",R057;R235,R057;R235,,AUDIT_REQUIRED,"Split from let-in stringing on construction, not on appearance. The sources themselves flag the shared vocabulary: 'the path generator is shared and only the surface shader differs.' Only the centre-path vocabulary is shared, which is exactly the audit's stated test."
inlay.engraved_filled_line,component_recipe,RANKABLE,inlay path,parameterized_recipe,1,Line ornament CUT INTO STONE and filled with pigment - subtractive on a mineral ground.,"engraved groove following a path, pigment-filled",polished alabaster,incised and filled,wraps a drum in registers,red-brown pigment in alabaster,register count; motif per register; wrap circumference,wood stringing and painted line-work,R437,R437,R437=quantity,AUDIT_REQUIRED,"'At least 4 distinct registers, but each wraps 360 degrees and only ~half is ever visible' - the count is bounded below only."
inlay.node_punctuation,component_recipe,RANKABLE,inlay path,parameterized_recipe,2,A discrete cell used as PUNCTUATION wherever a linear path turns a corner or terminates. It is a placement rule as much as a shape.,a cell master + a rule keyed to path corners and terminations,the ends and corners of an inlay path,let in with the path,punctuates a linear run,framed rosette square; disc-in-bezel,cell size; spacing pitch along the run; the corner/termination rule itself,the continuous line the cells punctuate,R035;R330,R035;R330,,AUDIT_REQUIRED,'It is the punctuation mark used wherever a linear path turns a corner or terminates - a PLACEMENT RULE as much as a shape.'
inlay.repeated_cell_run,component_recipe,RANKABLE,inlay path,parameterized_recipe,1,"A row of discrete inlaid cells at a pitch - instancing, not a continuous line.",instance a cell along a path at a pitch,a show face,let in,vertical accent band,dark inlaid triangles,triangle size; spacing; run length,continuous stringing lines,R296,R296,,AUDIT_REQUIRED,
bespoke.claw_and_ball_foot,bespoke_hero,RANKABLE,foot,bespoke,1,"A ball gripped by four talons - a fixed carved master, not a recipe. The source says so: 'This is a fixed donor mesh, not a recipe - swap it whole for pad foot, spade foot, or trifid.'",hand-authored sculpture,ankle of a cabriole leg,carved integral with the leg blank,front-leg floor contact,carved and finished wood,"uniform scale; talon spread; ball diameter relative to the ankle - and WHOLE-MASTER substitution, which is the real variation axis","the paw foot on 1972.47, an unrelated carving; every turned foot",R105.a,R105.a,,AUDIT_REQUIRED,Split into its own master per the audit. The object carries it on the three FRONT legs only; the rear legs have no foot at all and sit in termination.leg_toe_prismatic.
bespoke.paw_foot,bespoke_hero,RANKABLE,foot,bespoke,1,"A carved hairy paw with an acanthus knuckle and a side scroll boss, seated on a separate disc pad.",hand-authored sculpture,leg above; disc pad below,carved integral with the leg; seats on the separable disc pad,floor contact,carved and gilt,scale; toe count; forward rake,"the claw-and-ball master, a different sculpture; the disc pad beneath it, which IS a recipe and is its own family",R137.a,R137.a,,AUDIT_REQUIRED,The disc pad was extracted to foot.disc_pad_separable because the source states it is 'separable from the paw and reusable alone'. The paw itself is not reusable.
ornament.painted_repeating_row,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A repeating ornament row executed in PAINT on a flat ground. Same placement grammar as an instanced relief run, but no geometry is added at all.","a 2D cell repeated along a path, resolved to texture",a flat painted ground,NONE - it is a surface treatment,enriched band,painted flat,unit pitch; repeat count; blossom-to-bud ratio; whether the row is painted (as here) or carved - the source names that switch explicitly,"carved relief masters, which are solids with a glue or carve interface",R055,R055,,AUDIT_REQUIRED,"Same construction split as inlay.painted_line_path: shared placement vocabulary, different realization. The row itself flags the switch: 'whether the row is painted (as here) or carved'."
relief.spiral_volute,component_recipe,RANKABLE,repeated ornament master,parameterized_recipe,1,"A single relief master: a carved spiral volute. Its identity is the geometry, not the transform that places it.",one authored master solid,carved integral or applied - not separated in the row,carved integral or applied - not separated in the row,instanced surface enrichment,"carved wood, gilt",scale; turn count,every other relief master - they are unrelated geometry that merely shares a placement system (see ornament.placement_system),R017,R017,,AUDIT_REQUIRED,Given its own part identity in v3.1. v3 merged this into ornament.instanced_relief_master with 16 others.
