bom_row_id,row_uid,candidate_id,broad_component,source_term,subpart,evidence_class,evidence_weight,family_assignment,family_status,assignment_confidence,source_visible_construction,uncertainty_type,panel_interface_class
R234,R234.b,FC-07-1999_79,repeated ornament master,carved and gilded festoon / anthemion / dentil,husk-and-laurel swag master with anthemion drop at each junction,VISIBLE,1.0,relief.husk_laurel_swag,RANKABLE,proven,yes,,
R234,R234.c,FC-07-1999_79,repeated ornament master,carved and gilded festoon / anthemion / dentil,dentil block master,VISIBLE,1.0,relief.dentil_block,RANKABLE,proven,yes,,
R234,R234.d,FC-07-1999_79,repeated ornament master,carved and gilded festoon / anthemion / dentil,drilled dot master,VISIBLE,1.0,relief.drilled_dot,RANKABLE,proven,yes,,
R297,R297,FC-08-2019_59,repeated ornament master,,,VISIBLE,1.0,relief.bolection_field,RANKABLE,proven,yes,,
R332,R332,FC-09-69_146_1,repeated ornament master,carved floral relief block (footpost),,VISIBLE,1.0,relief.floral_block,RANKABLE,proven,yes,,
R355,R355,FC-09-1954_151,repeated ornament master,rosette in pierced circle,,VISIBLE,1.0,relief.pierced_rosette_ring,RANKABLE,proven,yes,,
R357,R357.a,FC-09-1954_151,repeated ornament master,acanthus collar; rosette die,acanthus leaf collar capping every leg turning,VISIBLE,1.0,relief.acanthus_collar,RANKABLE,proven,yes,,
R357,R357.b,FC-09-1954_151,repeated ornament master,acanthus collar; rosette die,square foliate rosette die block,VISIBLE,1.0,relief.rosette_die_panel,RANKABLE,proven,yes,,
R439,R439,FC-12-2002_298_1,repeated ornament master,beaded teardrop / waterleaf lappet,,VISIBLE,1.0,relief.beaded_teardrop_lappet,RANKABLE,proven,yes,,
R440,R440,FC-12-2002_298_1,repeated ornament master,heart-lappet of the base ring,,VISIBLE,1.0,relief.heart_lappet,RANKABLE,proven,yes,,
R438,R438,FC-12-2002_298_1,repeated ornament master,red glass cabochon jewel,,VISIBLE,1.0,relief.glass_cabochon,RANKABLE,proven,yes,quantity,
R034,R034,FC-01-2012_216,repeated ornament master,mother-of-pearl,,VISIBLE,1.0,relief.mop_disc_in_bezel,RANKABLE,proven,yes,quantity,
R114,R114.c,FC-04-1972_47,repeated ornament master,,"carved rosette/patera, host-carved",VISIBLE,1.0,relief.carved_rosette_patera,RANKABLE,proven,yes,quantity,
R114,R114.d,FC-04-1972_47,repeated ornament master,,"carved flower-in-linked-chain, host-carved",VISIBLE,1.0,relief.flower_chain_run,RANKABLE,proven,yes,quantity,
R114,R114.f,FC-04-1972_47,repeated ornament master,,"carved palmette, host-carved",VISIBLE,1.0,relief.carved_palmette,RANKABLE,proven,yes,quantity,
R303,R303.a,FC-09-69_146_1,crest/cornice,carved wreath cartouche (applied centre ornament),"carved wreath ring, applied",VISIBLE,1.0,relief.applied_wreath_ring,RANKABLE,unresolved,no,construction,
R303,R303.b,FC-09-69_146_1,crest/cornice,carved wreath cartouche (applied centre ornament),inset shield marquetry cell,VISIBLE,1.0,inlay.inset_swappable_cell,RANKABLE,proven,yes,,
R154,R154,FC-04-1969_262,repeated ornament master,,,VISIBLE,1.0,inlay.closed_line_outline_master,RANKABLE,proven,yes,,
R186,R186,FC-05-69_146_3,repeated ornament master,ribbon lock cartouche,,VISIBLE,1.0,inlay.keyhole_cartouche,RANKABLE,proven,yes,,
R114,R114.a,FC-04-1972_47,repeated ornament master,,"MOP star, flat inlay, 4+ sizes",VISIBLE,1.0,inlay.star_scatter_master,RANKABLE,proven,yes,quantity,
R114,R114.b,FC-04-1972_47,repeated ornament master,,"MOP circular disc, flat inlay",VISIBLE,1.0,inlay.mop_disc_master,RANKABLE,proven,yes,quantity,
R114,R114.e,FC-04-1972_47,repeated ornament master,,"abalone rectangular plaque, flat inlay",VISIBLE,1.0,inlay.abalone_plaque,RANKABLE,proven,yes,quantity,
